Coding System (Read),Codes,Description,Entity type,Category
Read,R054200,[D]Gangrene of toe in diabetic,res50: peripheral vascular disease,diagnostic
Read,P7yz000,Congenital aneurysm NEC,res50: peripheral vascular disease,diagnostic
Read,Pyu2B00,[X]Oth specified cong malform of peripheral vascular system,res50: peripheral vascular disease,diagnostic
Read,Jyu3200,[X]Oth spcfd abdominal hernia without obstructn or gangrene,res50: peripheral vascular disease,diagnostic
Read,7A6Ly00,Other specified combined operations on varicose vein of leg,res50: peripheral vascular disease,diagnostic
Read,7A58300,Percutaneous transluminal coil embolisation aneurysm giant,res50: peripheral vascular disease,diagnostic
Read,7A45.00,Emergency replacement of aneurysmal femoral/popliteal artery,res50: peripheral vascular disease,diagnostic
Read,7A1B900,Endovascular insertion stent for suprarenal aortic aneurysm,res50: peripheral vascular disease,diagnostic
Read,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,res50: peripheral vascular disease,diagnostic
Read,7A13.11,Emergency repair of aortic aneurysm,res50: peripheral vascular disease,diagnostic
Read,7A11y00,Replacement of aneurysmal bifurcation of aorta OS,res50: peripheral vascular disease,diagnostic
Read,7A13.00,Emergency replacement of aneurysmal segment of aorta,res50: peripheral vascular disease,diagnostic
Read,7A12.00,Other bypass of bifurcation of aorta,res50: peripheral vascular disease,diagnostic
Read,7A11z00,Replacement of aneurysmal bifurcation of aorta NOS,res50: peripheral vascular disease,diagnostic
Read,7A12z00,Other bypass of bifurcation of aorta NOS,res50: peripheral vascular disease,diagnostic
Read,7A12100,Bypass bifurc aorta by anastom aorta to femoral artery NEC,res50: peripheral vascular disease,diagnostic
Read,7A12000,Emerg bypass bifurc aorta by anast aorta to femoral artery,res50: peripheral vascular disease,diagnostic
Read,7A12y00,Other specified other bypass of bifurcation of aorta,res50: peripheral vascular disease,diagnostic
Read,7A14.11,Aortic aneurysm repair,res50: peripheral vascular disease,diagnostic
Read,7A13411,Tube graft abdominal Aortic aneurysm (emergency),res50: peripheral vascular disease,diagnostic
Read,7A13100,Emerg replace aneurysm thor aorta by anastom aorta to aorta,res50: peripheral vascular disease,diagnostic
Read,7A13000,Emerg replace aneurysm asc aorta by anastom aorta to aorta,res50: peripheral vascular disease,diagnostic
Read,7A13400,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC,res50: peripheral vascular disease,diagnostic
