Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,42902,Enalapril 20mg tablets (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,38459,Telmisartan 80mg / Hydrochlorothiazide 25mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,38367,Hydrochlorothiazide with losartan 12.5mg with 100mg Tablet,res50: RAS inhibitors,drug
CPRD_product_code,38285,Perindopril erbumine 4mg tablets (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,34821,Bisoprolol 10mg tablets (Generics (UK) Ltd),res50: RAS inhibitors,drug
CPRD_product_code,37710,Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,35174,Valsartan 80mg with amlodipine 5mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,34799,Lisinopril 20mg tablets (Zentiva),res50: RAS inhibitors,drug
CPRD_product_code,35173,Valsartan 160mg with amlodipine 5mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,34952,Enalapril 10mg tablets (Generics (UK) Ltd),res50: RAS inhibitors,drug
CPRD_product_code,34936,Captopril 25mg Tablet (Lagap),res50: RAS inhibitors,drug
CPRD_product_code,34893,Ramipril 10mg Capsule (IVAX Pharmaceuticals UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,34943,Ramipril 10mg capsules (A A H Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,34937,Captopril 50mg Tablet (IVAX Pharmaceuticals UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,35096,Exforge 10mg/160mg tablets (Novartis Pharmaceuticals UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,34963,Bisoprolol 5mg tablets (Actavis UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,34953,Enalapril 20mg tablets (Zentiva),res50: RAS inhibitors,drug
CPRD_product_code,37655,Captopril 25mg tablets (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,35329,Amlodipine 5mg / Valsartan 80mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,35007,Ramipril 10mg/5ml oral suspension,res50: RAS inhibitors,drug
CPRD_product_code,35189,Amlodipine 10mg / Valsartan 160mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,35317,Exforge 5mg/80mg tablets (Novartis Pharmaceuticals UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,35196,CoAprovel 300mg/25mg tablets (Sanofi),res50: RAS inhibitors,drug
CPRD_product_code,35304,Valsartan 160mg with amlodipine 10mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,37650,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,38395,Valsartan 80mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,35481,Irbesartan 300mg / Hydrochlorothiazide 25mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,35380,Hydrochlorothiazide with olmesartan medoxomil 12.5mg with 20mg tablet,res50: RAS inhibitors,drug
CPRD_product_code,35343,Amlodipine 5mg / Valsartan 160mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,35731,Perindopril erbumine 8mg tablets (A A H Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,35697,Exforge 5mg/160mg tablets (Novartis Pharmaceuticals UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,35302,Captopril 12.5mg/5ml oral suspension,res50: RAS inhibitors,drug
CPRD_product_code,37573,Valsartan 320mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,36742,Captopril 2mg/5ml oral suspension,res50: RAS inhibitors,drug
CPRD_product_code,35794,Enalapril 5mg tablets (A A H Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,37118,Bisoprolol 2.5mg tablets (A A H Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,36753,Ednyt 10mg Tablet (Dominion Pharma),res50: RAS inhibitors,drug
CPRD_product_code,37087,Enalapril 5mg/5ml oral suspension,res50: RAS inhibitors,drug
CPRD_product_code,36939,Irbesartan 300mg/5ml oral suspension,res50: RAS inhibitors,drug
CPRD_product_code,37930,Perindopril arginine 5mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,38026,Coversyl Arginine 10mg tablets (Servier Laboratories Ltd),res50: RAS inhibitors,drug
CPRD_product_code,37747,Cozaar-Comp 100mg/12.5mg tablets (Merck Sharp & Dohme Ltd),res50: RAS inhibitors,drug
CPRD_product_code,37978,Perindopril arginine 5mg / Indapamide 1.25mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,37965,Coversyl Arginine 5mg tablets (Servier Laboratories Ltd),res50: RAS inhibitors,drug
CPRD_product_code,37964,Perindopril arginine 2.5mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,37778,Lisinopril 5mg/5ml oral suspension,res50: RAS inhibitors,drug
CPRD_product_code,37908,Coversyl Arginine Plus 5mg/1.25mg tablets (Servier Laboratories Ltd),res50: RAS inhibitors,drug
CPRD_product_code,37971,Perindopril arginine 10mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,38034,Coversyl Arginine 2.5mg tablets (Servier Laboratories Ltd),res50: RAS inhibitors,drug
CPRD_product_code,55821,Valsartan 160mg capsules (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,38308,Ramipril 2.5/5mg/10mg tablet,res50: RAS inhibitors,drug
CPRD_product_code,42901,Enalapril 5mg tablets (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,42894,Enalapril 10mg tablets (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,42723,Pralenal 5 tablets (Opus Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,39512,Captopril 25mg/5ml oral suspension,res50: RAS inhibitors,drug
CPRD_product_code,39984,Sevikar 20mg/5mg tablets (Daiichi Sankyo UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,39021,Hydrochlorothiazide with olmesartan medoxomil 25mg with 20mg tablet,res50: RAS inhibitors,drug
CPRD_product_code,38899,Quinil 10mg tablets (Tillomed Laboratories Ltd),res50: RAS inhibitors,drug
CPRD_product_code,38889,MicardisPlus 80mg/25mg tablets (Boehringer Ingelheim Ltd),res50: RAS inhibitors,drug
CPRD_product_code,38510,Perindopril erbumine 4mg tablets (Apotex UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,38854,Quinapril 20mg/5ml oral solution,res50: RAS inhibitors,drug
CPRD_product_code,38995,Zestoretic 20 tablets (AstraZeneca UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,37080,Enalapril 5mg/5ml oral solution,res50: RAS inhibitors,drug
CPRD_product_code,38991,Bisoprolol 7.5mg tablets (A A H Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,39944,Losartan 12.5mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,39199,Diovan 320mg tablets (Novartis Pharmaceuticals UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,34798,Enalapril 20mg tablets (Sandoz Ltd),res50: RAS inhibitors,drug
CPRD_product_code,39147,Carace 20 Plus tablets (Merck Sharp & Dohme Ltd),res50: RAS inhibitors,drug
CPRD_product_code,39137,Zestoretic 10 tablets (AstraZeneca UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,39786,Olmesartan medoxomil 10mg/5ml oral suspension,res50: RAS inhibitors,drug
CPRD_product_code,39227,Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,34698,Ramipril 1.25mg capsules (Zentiva),res50: RAS inhibitors,drug
CPRD_product_code,39421,Tritace titration pack tablets (Sanofi),res50: RAS inhibitors,drug
CPRD_product_code,39242,Carace 10 Plus tablets (Merck Sharp & Dohme Ltd),res50: RAS inhibitors,drug
CPRD_product_code,39355,Tritace 10mg Tablet (Sterwin Medicines),res50: RAS inhibitors,drug
CPRD_product_code,42285,Quinil 40mg tablets (Tillomed Laboratories Ltd),res50: RAS inhibitors,drug
CPRD_product_code,34412,Ramipril 5mg capsules (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,40668,Olmesartan medoxomil 40mg / Amlodipine 10mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,40639,Olmesartan medoxomil 40mg / Amlodipine 5mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,40316,Olmesartan medoxomil 20mg / Amlodipine 5mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,40571,Cozaar 12.5mg tablets (Merck Sharp & Dohme Ltd),res50: RAS inhibitors,drug
CPRD_product_code,40355,Quinil 5mg tablets (Tillomed Laboratories Ltd),res50: RAS inhibitors,drug
CPRD_product_code,40384,Ramipril 10mg tablets (A A H Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,40711,Losartan 2.5mg/ml oral suspension sugar free,res50: RAS inhibitors,drug
CPRD_product_code,34490,Ramipril 2.5mg capsules (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,41522,Lisopress 20mg tablets (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,41591,Bisoprolol 10mg tablets (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,41203,Sevikar 40mg/10mg tablets (Daiichi Sankyo UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,41573,Lisopress 10mg tablets (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,41205,Sevikar 40mg/5mg tablets (Daiichi Sankyo UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,41532,Lisopress 5mg tablets (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,41232,Cozaar 2.5mg/ml oral suspension (Merck Sharp & Dohme Ltd),res50: RAS inhibitors,drug
CPRD_product_code,34382,Ramipril 5mg capsules (Zentiva),res50: RAS inhibitors,drug
CPRD_product_code,41417,Enalapril 2.5mg tablets (A A H Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,42081,Tritace 1.25mg Tablet (Sterwin Medicines),res50: RAS inhibitors,drug
CPRD_product_code,41743,Captopril 50mg tablets (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,41617,Captopril 25mg tablets (Actavis UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,41538,Lisopress 2.5mg tablets (Teva UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,41633,Captopril 12.5mg tablets (Actavis UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,41694,Enalapril 2.5mg tablets (IVAX Pharmaceuticals UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,41746,Enalapril 10mg tablets (Sandoz Ltd),res50: RAS inhibitors,drug
CPRD_product_code,45217,Enalapril 5mg tablets (Kent Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,43432,Captopril 6.25mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,43322,Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,42908,Enalapril 5mg tablets (IVAX Pharmaceuticals UK Ltd),res50: RAS inhibitors,drug
CPRD_product_code,7043,Candesartan 32mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,6468,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,43251,Bisoprolol 1.25mg tablets (Generics (UK) Ltd),res50: RAS inhibitors,drug
CPRD_product_code,43418,Lisinopril 5mg tablets (A A H Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,43412,Lisinopril 2.5mg tablets (A A H Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,43012,Perindopril erbumine oral solution,res50: RAS inhibitors,drug
CPRD_product_code,43416,Lisinopril 10mg tablets (A A H Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,43413,Lisinopril 20mg tablets (A A H Pharmaceuticals Ltd),res50: RAS inhibitors,drug
CPRD_product_code,57977,Candesartan 16mg tablets (Alliance Healthcare (Distribution) Ltd),res50: RAS inhibitors,drug
CPRD_product_code,44778,Valsartan 160mg tablets,res50: RAS inhibitors,drug
CPRD_product_code,43507,Captopril 25mg Tablet (Generics (UK) Ltd),res50: RAS inhibitors,drug
