Coding System (Read),Codes,Description,Entity type,Category
Read,A170300,Tuberculosis - lupus NOS,res50: rheumatological disease,diagnostic
Read,N093000,Palindromic rheumatism of unspecified site,res50: rheumatological disease,diagnostic
Read,M210z00,Circumscribed scleroderma NOS,res50: rheumatological disease,diagnostic
Read,N040100,Other rheumatoid arthritis of spine,res50: rheumatological disease,diagnostic
Read,N093700,Palindromic rheumatism of the ankle and foot,res50: rheumatological disease,diagnostic
Read,Nyu1G00,"[X]Seropositive rheumatoid arthritis, unspecified",res50: rheumatological disease,diagnostic
Read,Nyu4300,[X]Other forms of systemic lupus erythematosus,res50: rheumatological disease,diagnostic
Read,Nyu4500,[X]Other forms of systemic sclerosis,res50: rheumatological disease,diagnostic
Read,N093800,Palindromic rheumatism of other specified site,res50: rheumatological disease,diagnostic
Read,N231400,Polymyositis ossificans,res50: rheumatological disease,diagnostic
Read,Nyu1000,[X]Rheumatoid arthritis+involvement/other organs or systems,res50: rheumatological disease,diagnostic
Read,N240.00,Rheumatism and fibrositis unspecified,res50: rheumatological disease,diagnostic
Read,N093900,Palindromic rheumatism of multiple sites,res50: rheumatological disease,diagnostic
Read,N093z00,Palindromic rheumatism NOS,res50: rheumatological disease,diagnostic
Read,N040200,Rheumatoid arthritis of shoulder,res50: rheumatological disease,diagnostic
Read,N043300,Monarticular juvenile rheumatoid arthritis,res50: rheumatological disease,diagnostic
Read,N065z00,Unspecified polyarthropathy or polyarthritis NOS,res50: rheumatological disease,diagnostic
Read,N093100,Palindromic rheumatism of the shoulder region,res50: rheumatological disease,diagnostic
Read,N093.00,Palindromic rheumatism,res50: rheumatological disease,diagnostic
Read,N043z00,Juvenile rheumatoid arthritis NOS,res50: rheumatological disease,diagnostic
Read,N04y000,Rheumatoid lung,res50: rheumatological disease,diagnostic
Read,N045100,Juvenile seronegative polyarthritis,res50: rheumatological disease,diagnostic
Read,N040300,Rheumatoid arthritis of sternoclavicular joint,res50: rheumatological disease,diagnostic
Read,N040J00,Rheumatoid arthritis of other tarsal joint,res50: rheumatological disease,diagnostic
Read,N040M00,Rheumatoid arthritis of IP joint of toe,res50: rheumatological disease,diagnostic
Read,N040K00,Rheumatoid arthritis of 1st MTP joint,res50: rheumatological disease,diagnostic
Read,N040400,Rheumatoid arthritis of acromioclavicular joint,res50: rheumatological disease,diagnostic
Read,N040500,Rheumatoid arthritis of elbow,res50: rheumatological disease,diagnostic
Read,F396400,Myopathy due to rheumatoid arthritis,res50: rheumatological disease,diagnostic
Read,M210400,Linear scleroderma,res50: rheumatological disease,diagnostic
Read,N04..00,Rheumatoid arthritis and other inflammatory polyarthropathy,res50: rheumatological disease,diagnostic
Read,Myu7800,[X]Other local lupus erythematosus,res50: rheumatological disease,diagnostic
Read,F396600,Myopathy due to scleroderma,res50: rheumatological disease,diagnostic
Read,H57y100,Lung disease with polymyositis,res50: rheumatological disease,diagnostic
