Coding System (Read),Codes,Description,Entity type,Category
Read,C10EE12,Insulin dependent diabetes mellitus with hypoglycaemic coma,res50: type 1 diabetes,diagnostic
Read,C108000,Insulin-dependent diabetes mellitus with renal complications,res50: type 1 diabetes,diagnostic
Read,C108.13,Type I diabetes mellitus,res50: type 1 diabetes,diagnostic
Read,C102000,"Diabetes mellitus, juvenile type, with hyperosmolar coma",res50: type 1 diabetes,diagnostic
Read,66At011,Type 1 diabetic dietary review,res50: type 1 diabetes,diagnostic
Read,C100000,"Diabetes mellitus, juvenile type, no mention of complication",res50: type 1 diabetes,diagnostic
Read,C101000,"Diabetes mellitus, juvenile type, with ketoacidosis",res50: type 1 diabetes,diagnostic
Read,C108.12,Type 1 diabetes mellitus,res50: type 1 diabetes,diagnostic
Read,C106000,"Diabetes mellitus, juvenile, + neurological manifestation",res50: type 1 diabetes,diagnostic
Read,C104000,"Diabetes mellitus, juvenile type, with renal manifestation",res50: type 1 diabetes,diagnostic
Read,C108.11,IDDM-Insulin dependent diabetes mellitus,res50: type 1 diabetes,diagnostic
Read,C108.00,Insulin dependent diabetes mellitus,res50: type 1 diabetes,diagnostic
Read,C107300,IDDM with peripheral circulatory disorder,res50: type 1 diabetes,diagnostic
Read,C108E11,Type I diabetes mellitus with hypoglycaemic coma,res50: type 1 diabetes,diagnostic
Read,C108012,Type 1 diabetes mellitus with renal complications,res50: type 1 diabetes,diagnostic
Read,C108211,Type I diabetes mellitus with neurological complications,res50: type 1 diabetes,diagnostic
Read,C108400,Unstable insulin dependent diabetes mellitus,res50: type 1 diabetes,diagnostic
Read,C108811,Type I diabetes mellitus - poor control,res50: type 1 diabetes,diagnostic
Read,C108600,Insulin dependent diabetes mellitus with gangrene,res50: type 1 diabetes,diagnostic
Read,C108412,Unstable type 1 diabetes mellitus,res50: type 1 diabetes,diagnostic
Read,C108512,Type 1 diabetes mellitus with ulcer,res50: type 1 diabetes,diagnostic
Read,C108500,Insulin dependent diabetes mellitus with ulcer,res50: type 1 diabetes,diagnostic
Read,C108511,Type I diabetes mellitus with ulcer,res50: type 1 diabetes,diagnostic
Read,C108700,Insulin dependent diabetes mellitus with retinopathy,res50: type 1 diabetes,diagnostic
Read,C108800,Insulin dependent diabetes mellitus - poor control,res50: type 1 diabetes,diagnostic
Read,C108712,Type 1 diabetes mellitus with retinopathy,res50: type 1 diabetes,diagnostic
