Read v2 Code,SNOMED CT Concept ID,SNOMED CT Description ID,Description,Quality and Outcomes Framework Read Codes 2017/18,Validated Read Codes                                   Quint et al. 2014,,
Hyu3000,87433001,144964015,[X]Other emphysema,Y,,,
Hyu3100,13645005,475431013,[X]Other specified chronic obstructive pulmonary disease,Y,,,
H312200,195951007,301453013,Acute exacerbation of chronic obstructive airways disease,,,,
H32y111,77690003,503646013,Acute interstitial emphysema,,,,
H32y000,195963002,301470017,Acute vesicular emphysema,Y,,,
663K.00,170628003,1489743015,Airways obstructn irreversible,,Y,,
H3B..00,10692761000119107,3046456013,Asthma-chronic obstructive pulmonary disease overlap syndrome,Y,,,
14OX.00,383611000000102,756761000000112,At risk of chronic obstructive pulmonary diseas exacerbation,,,,
H32y100,266356006,396109014,Atrophic (senile) emphysema,Y,,,
H312300,40100001,492443010,Bronchiolitis obliterans,Y,,,
H320300,266355005,396108018,Bullous emphysema with collapse,Y,,,
H322.00,68328006,113497011,Centrilobular emphysema,Y,Y,,
H3y1.00,195951007,301453013,"Chron obstruct pulmonary dis wth acute exacerbation, unspec",,,,
H312000,195949008,301450011,Chronic asthmatic bronchitis,Y,,,
H31..00,63480004,105519017,Chronic bronchitis,Y,,,
H31z.00,63480004,105519017,Chronic bronchitis NOS,Y,,,
H320.00,195957006,301460019,Chronic bullous emphysema,Y,Y,,
H320z00,195957006,301460019,Chronic bullous emphysema NOS,Y,Y,,
H310000,89549007,508562012,Chronic catarrhal bronchitis,Y,,,
H464000,196026004,301572010,Chronic emphysema due to chemical fumes,Y,,,
H3y0.00,196001008,301542016,Chronic obstruct pulmonary dis with acute lower resp infectn,,,,
H3?11,13645005,475423015,Chronic obstructive airways disease,Y,Y,,
H3z..00,13645005,475428012,Chronic obstructive airways disease NOS,Y,Y,,
H3?00,13645005,475431013,Chronic obstructive pulmonary disease,Y,Y,,
66YM.00,394703002,1488424013,Chronic obstructive pulmonary disease annual review,,Y,,
8CMW500,848431000000106,2199261000000110,Chronic obstructive pulmonary disease care pathway,,,,
8CR1.00,736283006,3517019016,Chronic obstructive pulmonary disease clini management plan,,Y,,
,1823851000006103,1823851000006119,Chronic obstructive pulmonary disease confirmed,,,,
6Yg.00,198401000000104,299001000000116,Chronic obstructive pulmonary disease disturbs sleep,,Y,,
66Yh.00,198411000000102,299031000000110,Chronic obstructive pulmonary disease does not disturb sleep,,Y,,
66YL.00,394702007,1488423019,Chronic obstructive pulmonary disease follow-up,,Y,,
9Oi4.00,716901000000101,1569451000000115,Chronic obstructive pulmonary disease monitor phone invite,,Y,,
66YB.00,390891009,1484924013,Chronic obstructive pulmonary disease monitoring,,Y,,
9Oi0.00,716241000000106,1568801000000112,Chronic obstructive pulmonary disease monitoring 1st letter,,Y,,
9Oi1.00,717021000000106,1569571000000113,Chronic obstructive pulmonary disease monitoring 2nd letter,,Y,,
9Oi2.00,717521000000104,1570061000000113,Chronic obstructive pulmonary disease monitoring 3rd letter,,Y,,
9Oi..00,713731000000102,1564971000000118,Chronic obstructive pulmonary disease monitoring admin,,Y,,
66YT.00,401185004,1780381012,Chronic obstructive pulmonary disease monitoring by doctor,,Y,,
66YS.00,401184000,1780380013,Chronic obstructive pulmonary disease monitoring by nurse,,Y,,
66YD.00,390941006,1484971019,Chronic obstructive pulmonary disease monitoring due,,Y,,
9Oi3.00,716281000000103,1568831000000118,Chronic obstructive pulmonary disease monitoring verb invite,,Y,,
H3z..11,13645005,475431013,Chronic obstructive pulmonary disease NOS,Y,Y,,
H31y100,52571006,87480013,Chronic tracheobronchitis,Y,,,
H312011,195949008,301451010,Chronic wheezy bronchitis,,,,
66YL.11,394702007,1488423019,COPD follow-up,,Y,,
H32..00,8743301,144964015,Emphysema,Y,Y,,
H32z.00,8743301,144964015,Emphysema NOS,Y,Y,,
H312100,185086009,285100019,Emphysematous bronchitis,Y,Y,,
H3A..00,135836000,216596014,End stage chronic obstructive airways disease,Y,,,
H583200,866901000000103,2240631000000119,Eosinophilic bronchitis,Y,,,
H311100,84409004,506053014,Fetid chronic bronchitis,Y,,,
H320200,16003001,27096010,Giant bullous emphysema,Y,,,
679V.00,741056003,3543021016,Health education ? chronic obstructive pulmonary disease,,Y,,
14B3.12,270473001,1765681000000110,History of chronic obstructive pulmonary disease,,,,
H32y200,45145000,1230190015,MacLeod's unilateral emphysema,Y,,,
H36..00,313296004,457168017,Mild chronic obstructive pulmonary disease,Y,Y,,
H313.00,195953005,301456017,Mixed simple and mucopurulent chronic bronchitis,Y,,,
H37..00,313297008,457169013,Moderate chronic obstructive pulmonary disease,Y,Y,,
H311.00,74417001,123588010,Mucopurulent chronic bronchitis,Y,,,
H311z00,74417001,123588010,Mucopurulent chronic bronchitis NOS,Y,,,
