Read v2 Code,SNOMED CT Concept ID,SNOMED CT Description ID,Description,Quality and Outcomes Framework Read Codes 2017/18,Validated Specific Asthma Read Codes Nissen et al. 2017,Validated Non-Specific Asthma Read Codes Nissen et al. 2017,
H330.11,389145006,1483199016,Allergic asthma,Y,Y,,
H33zz12,389145006,1483199016,Allergic asthma NEC,Y,Y,,
H33..00,195967001,301485011,Asthma,Y,Y,,
H33zz00,708038006,3032734012,Asthma NOS,Y,Y,,
H33z100,708038006,3032734012,Asthma attack,Y,Y,,
H33z111,195967001,301485011,Asthma attack NOS,Y,Y,,
H33z.00,195967001,301485011,Asthma unspecified,Y,Y,,
H334.00,225057002,338238011,Brittle asthma,Y,Y,,
H33..11,195967001,301480018,Bronchial asthma,Y,Y,,
H335.00,866881000000101,2240591000000119,Chronic asthma with fixed airflow obstruction,Y,Y,,
H312000,195949008,301450011,Chronic asthmatic bronchitis,Y,Y,,
H33zz11,31387002,52467014,Exercise induced asthma,Y,Y,,
173A.00,31387002,52467014,Exercise induced asthma,Y,Y,,
H330.00,389145006,1493645010,Extrinsic (atopic) asthma,Y,Y,,
H330z00,424643009,2648327010,Extrinsic asthma NOS,Y,Y,,
H330111,708093000,3083642013,Extrinsic asthma with asthma attack,Y,Y,,
H330100,1086701000000102,2722231000000112,Extrinsic asthma with status asthmaticus,Y,Y,,
H330000,63088003,104872017,Extrinsic asthma without status asthmaticus,Y,Y,,
H330.13,233683003,350153016,Hay fever with asthma,Y,Y,,
H330011,233683003,350153016,Hay fever with asthma,Y,Y,,
H331.00,266361008,396114013,Intrinsic asthma,Y,Y,,
H331z00,266361008,396114013,Intrinsic asthma NOS,Y,Y,,
H331111,708094006,3032866010,Intrinsic asthma with asthma attack,Y,Y,,
H331100,1086711000000100,2722261000000119,Intrinsic asthma with status asthmaticus,Y,Y,,
H331000,12428000,21390015,Intrinsic asthma without status asthmaticus,Y,Y,,
H331.11,233679003,350148014,Late onset asthma,Y,Y,,
H33z200,233679003,350148014,Late-onset asthma,Y,Y,,
H330.14,233683003,350154010,Pollen asthma,Y,Y,,
H33z011,708090002,3033029011,Severe asthma attack,Y,Y,,
H33z000,734904007,3511368015,Status asthmaticus NOS,Y,Y,,
H3B..00,10692761000119107,3046456013,Asthma-chronic obstructive pulmonary disease overlap syndrome,Y,,,
H332.00,195977004,301509017,Mixed asthma,Y,,,
66YC.00,390921001,1484953014,Absent from work or school due to asthma,,Y,,
H333.00,708038006,3032747019,Acute exacerbation of asthma,,Y,,
1780.00,407674008,2159273015,Aspirin induced asthma,,Y,,
663j.00,312453004,456163018,Asthma - currently active,,Y,,
663m.00,708373002,3034176014,Asthma accident and emergency attendance since last visit,,Y,,
66YJ.00,394700004,1488421017,Asthma annual review,,Y,,
663t.00,370202007,1208954011,Asthma causes daytime symptoms 1 to 2 times per month,,Y,,
663u.00,370203002,1208955012,Asthma causes daytime symptoms 1 to 2 times per week,,Y,,
663v.00,370204008,1208956013,Asthma causes daytime symptoms most days,,Y,,
663r.00,370205009,1208957016,Asthma causes night symptoms 1 to 2 times per month,,Y,,
66Yq.00,771901000000100,1722421000000110,Asthma causes night time symptoms 1 to 2 times per week,,Y,,
66Yr.00,771941000000102,1722501000000119,Asthma causes symptoms most nights,,Y,,
663N000,170632009,264541019,Asthma causing night waking,,Y,,
8CR0.00,736056000,3516216012,Asthma clinical management plan,,Y,,
1O2..00,401193004,1780388018,Asthma confirmed,,Y,,
38DT.00,763077003,3637798014,Asthma control questionnaire,,Y,,
