"metadata","category","readcode","readterm","medcode"
"Name: marital_status_cprd                                                        ",1,"1331.00","Single",37265
"Version: 1                                                                       ",1,"1331.11","Single - unmarried",11103
"Source: CPRD                                                                     ",1,"13D2.00","Homeless single person",25452
"Author: Julie George, Emily Herrett, Ruzan Udumyan, Liam Smeeth, Harry Hemingway ",1,"13H6.00","Single parent",20079
"Date: 17 May 2011                                                                ",1,"13H6.11","Unmarried parent",16262
"Timestamp: 15.04 23-Apr-13                                                       ",1,"13W9.00","Single parent family",3394
"Categories:                                                                      ",1,"13W9000","Single parent family, mother present",36299
"1. Single                                                                        ",1,"13W9011","Single parent family - mother",25149
"2. Possibly married                                                              ",1,"6123.00","No partner at present",13001
"3. Married or co-habiting                                                        ",2,"ZL31300","Under care of marriage guidance counsellor",38003
"4. Separated or divorced                                                         ",2,"ZL73300","Referral to marriage guidance counsellor",28985
"5. Widowed                                                                       ",2,"ZLB4.00","Seen by marriage guidance counsellor",36333
"6. Marital status unclear or not reported                                        ",2,"ZLD1300","Discharge by marriage guidance counsellor",94555
"                                                                                 ",3,"1276.11","Spouse haemophiliac",63118
"                                                                                 ",3,"131..00","Occupation of spouse",36077
"                                                                                 ",3,"131..11","Occupation of husband",33001
"                                                                                 ",3,"131..12","Occupation of wife",39292
"                                                                                 ",3,"1311.00","Housewife",9612
"                                                                                 ",3,"1311.11","Homemaker",33006
"                                                                                 ",3,"1312.00","House husband",33153
"                                                                                 ",3,"131Z.00","Occupation of spouse NOS",54096
"                                                                                 ",3,"1332.00","Married",3988
"                                                                                 ",3,"1332.11","Remarried",1580
"                                                                                 ",3,"1332.12","Newly wed",7419
"                                                                                 ",3,"1336.00","Cohabiting",25503
"                                                                                 ",3,"133G.00","Common-law husband",16315
"                                                                                 ",3,"133H.00","Common-law wife",42386
"                                                                                 ",3,"133S.00","Married/civil partner",88373
"                                                                                 ",3,"13FD100","Spouse cannot care for patient",23385
"                                                                                 ",3,"13H4.00","Marital problems",1349
"                                                                                 ",3,"13H4.11","Marital trouble",29544
"                                                                                 ",3,"13H4.12","Marital stress",723
"                                                                                 ",3,"13H4100","Marital breakdown",954
"                                                                                 ",3,"13H4200","Marital conflict",333
"                                                                                 ",3,"13H4211","Marital discord",3551
"                                                                                 ",3,"13H4212","Marital disharmony",1540
"                                                                                 ",3,"13H4213","Row with wife",30950
"                                                                                 ",3,"13H4300","Maladjustment to married life",15313
"                                                                                 ",3,"13H4311","Spouse unsympathetic",42321
"                                                                                 ",3,"13H4312","Spouse inattentive",54816
"                                                                                 ",3,"13H5.00","Marital reconciliation",29543
"                                                                                 ",3,"13H5.11","Cohabitee returned",38325
"                                                                                 ",3,"13H5.12","Spouse returned home",15950
"                                                                                 ",3,"13HD.00","Violent spouse",3483
"                                                                                 ",3,"13HG.00","Broken with partner",24055
"                                                                                 ",3,"13HH.13","Looks after chronically sick husband",16552
"                                                                                 ",3,"13HH.15","Looks after chronically sick spouse",15115
"                                                                                 ",3,"13HH.16","Looks after chronically sick wife",20149
"                                                                                 ",3,"13HT114","Wife unable to cope",23514
"                                                                                 ",3,"13HV.00","Extra-marital problems",34771
"                                                                                 ",3,"13HV000","Affair started",23409
"                                                                                 ",3,"13HV011","Lover taken",27434
"                                                                                 ",3,"13HV012","Mistress taken",56178
"                                                                                 ",3,"13HV100","Affair ended",20536
"                                                                                 ",3,"13HV200","Affair unsatisfactory",23445
"                                                                                 ",3,"13HV311","Spouse committed infidelity",15777
"                                                                                 ",3,"13HV400","Seven year itch - marital",21925
"                                                                                 ",3,"13HVZ00","Extra-marital problems NOS",37551
"                                                                                 ",3,"13I2.00","Partner stops work",47411
"                                                                                 ",3,"13I7100","Husband in prison",24769
"                                                                                 ",3,"13I7200","Spouse arrested",42398
