Read code,Description,Grade
,,
SN50.00,Anaphylactic shock,2
,,
SN50.11,Anaphylaxis,1
,,
SN50000,Anaphylactic shock due to adverse food reaction,1
,,
SN50100,Anaphy shock due/adv efect/correct drug or med proprly admin,1
,,
SN59300,Anaphylactic shock due to bee sting,2
,,
SN59400,Anaphylactic shock due to wasp sting,2
,,
14M5.00,H/O: anaphylactic shock,2
,,
ZV1B300,[V]Personal history of food induced anaphylaxis,2
,,
SP34.00,Anaphylactic shock due to serum                             ,2
