conceptId,term,type
195212005,Brainstem stroke syndrome,1
195213000,Cerebellar stroke syndrome,1
195216008,Left sided cerebral hemisphere cerebrovascular accident,1
195217004,Right sided CVA,1
230690007,CVA - Cerebrovascular accident,1
275434003,Stroke in the puerperium,1
16371781000119100,Cerebellar stroke (disorder),1
195209007,Middle cerebral artery syndrome (disorder),1
195210002,Anterior cerebral artery syndrome (disorder),1
195211003,Posterior cerebral artery syndrome (disorder),1
195212005,Brainstem stroke syndrome (disorder),1
195216008,Left sided cerebral hemisphere cerebrovascular accident (disorder),1
195217004,Right sided cerebral hemisphere cerebrovascular accident (disorder),1
230706003,Hemorrhagic cerebral infarction (disorder),1
230708002,Posterior cerebral circulation hemorrhagic infarction (disorder),1
281240008,Extension of cerebrovascular accident (disorder),1
297138001,Embolus of circle of Willis (disorder),1
444172003,Recurrent transient cerebral ischemic attack (disorder),1
230690007,Cerebrovascular accident (disorder),1
230707007,Anterior cerebral circulation hemorrhagic infarction (disorder),1
230713003,Stroke of uncertain pathology (disorder),1
230714009,Anterior circulation stroke of uncertain pathology (disorder),1
230715005,Posterior circulation stroke of uncertain pathology (disorder),1
275434003,Stroke in the puerperium (disorder),1
