Phenotype,Read code,Description,Category
ANGINA,14A5.,H/O: angina pectoris                                                                                                                                                                                                                                           ,Stable angina                                     
ANGINA,14AJ.,H/O: Angina in last year                                                                                                                                                                                                                                       ,Stable angina                                     
ANGINA,32131,Exercise ECG abnormal                                                                                                                                                                                                                                          ,Stable angina                                     
ANGINA,322..,ECG: myocardial ischaemia                                                                                                                                                                                                                                      ,Stable angina                                     
ANGINA,3222,ECG:shows myocardial ischaemia                                                                                                                                                                                                                                 ,Stable angina                                     
ANGINA,322Z.,ECG: myocardial ischaemia NOS                                                                                                                                                                                                                                  ,Stable angina                                     
ANGINA,32E4.,ECG: S-T depression                                                                                                                                                                                                                                            ,Stable angina                                     
ANGINA,32F2.,ECG: T wave abnormal                                                                                                                                                                                                                                           ,Stable angina                                     
ANGINA,32F3.,ECG: T wave flattened                                                                                                                                                                                                                                          ,Stable angina                                     
ANGINA,32F4.,ECG: T wave inverted                                                                                                                                                                                                                                           ,Stable angina                                     
ANGINA,33B95,Exercise tolerance test abnormal                                                                                                                                                                                                                               ,Stable angina                                     
ANGINA,5543,Coronary arteriograph.abnormal                                                                                                                                                                                                                                 ,Stable angina                                     
ANGINA,5C11.,Radionuclide heart study abnormal                                                                                                                                                                                                                              ,Stable angina                                     
ANGINA,662K.,Angina control                                                                                                                                                                                                                                                 ,Stable angina                                     
ANGINA,662K0,Angina control - good                                                                                                                                                                                                                                          ,Stable angina                                     
ANGINA,662K1,Angina control - poor                                                                                                                                                                                                                                          ,Stable angina                                     
ANGINA,662K2,Angina control - improving                                                                                                                                                                                                                                     ,Stable angina                                     
ANGINA,662Kz,Angina control NOS                                                                                                                                                                                                                                             ,Stable angina                                     
ANGINA,792..,Coronary artery bypass graft operations                                                                                                                                                                                                                        ,Stable angina                                     
ANGINA,7920,Saphenous vein graft replacement of coronary artery                                                                                                                                                                                                            ,Stable angina                                     
ANGINA,79200,Saphenous vein graft replacement of one coronary artery                                                                                                                                                                                                        ,Stable angina                                     
ANGINA,79201,Saphenous vein graft replacement of two coronary arteries                                                                                                                                                                                                      ,Stable angina                                     
ANGINA,79202,Saphenous vein graft replacement of three coronary arteries                                                                                                                                                                                                    ,Stable angina                                     
ANGINA,79203,Saphenous vein graft replacement of four+ coronary arteries                                                                                                                                                                                                    ,Stable angina                                     
ANGINA,7920y,Saphenous vein graft replacement of coronary artery OS                                                                                                                                                                                                         ,Stable angina                                     
ANGINA,7920z,Saphenous vein graft replacement coronary artery NOS                                                                                                                                                                                                           ,Stable angina                                     
ANGINA,7921,Other autograft bypass of coronary artery                                                                                                                                                                                                                      ,Stable angina                                     
ANGINA,79210,Autograft replacement of one coronary artery NEC                                                                                                                                                                                                               ,Stable angina                                     
ANGINA,79211,Autograft replacement of two coronary arteries NEC                                                                                                                                                                                                             ,Stable angina                                     
ANGINA,79212,Autograft replacement of three coronary arteries NEC                                                                                                                                                                                                           ,Stable angina                                     
ANGINA,79213,Autograft replacement of four of more coronary arteries NEC                                                                                                                                                                                                    ,Stable angina                                     
ANGINA,7921y,Other autograft replacement of coronary artery OS                                                                                                                                                                                                              ,Stable angina                                     
ANGINA,7921z,Other autograft replacement of coronary artery NOS                                                                                                                                                                                                             ,Stable angina                                     
ANGINA,7922,Allograft replacement of coronary artery                                                                                                                                                                                                                       ,Stable angina                                     
ANGINA,79220,Allograft replacement of one coronary artery                                                                                                                                                                                                                   ,Stable angina                                     
ANGINA,79221,Allograft replacement of two coronary arteries                                                                                                                                                                                                                 ,Stable angina                                     
ANGINA,79222,Allograft replacement of three coronary arteries                                                                                                                                                                                                               ,Stable angina                                     
ANGINA,79223,Allograft replacement of four or more coronary arteries                                                                                                                                                                                                        ,Stable angina                                     
ANGINA,7922y,Other specified allograft replacement of coronary artery                                                                                                                                                                                                       ,Stable angina                                     
ANGINA,7922z,Allograft replacement of coronary artery NOS                                                                                                                                                                                                                   ,Stable angina                                     
ANGINA,7923,Prosthetic replacement of coronary artery                                                                                                                                                                                                                      ,Stable angina                                     
ANGINA,79230,Prosthetic replacement of one coronary artery                                                                                                                                                                                                                  ,Stable angina                                     
ANGINA,79231,Prosthetic replacement of two coronary arteries                                                                                                                                                                                                                ,Stable angina                                     
ANGINA,79232,Prosthetic replacement of three coronary arteries                                                                                                                                                                                                              ,Stable angina                                     
ANGINA,79233,Prosthetic replacement of four or more coronary arteries                                                                                                                                                                                                       ,Stable angina                                     
ANGINA,7923z,Prosthetic replacement of coronary artery NOS                                                                                                                                                                                                                  ,Stable angina                                     
ANGINA,7925,Connection of mammary artery to coronary artery                                                                                                                                                                                                                ,Stable angina                                     
ANGINA,7925,Creation of bypass from mammary artery to coronary artery                                                                                                                                                                                                      ,Stable angina                                     
ANGINA,79250,Double anastomosis of mammary arteries to coronary arteries                                                                                                                                                                                                    ,Stable angina                                     
ANGINA,79251,Double implant of mammary arteries into coronary arteries                                                                                                                                                                                                      ,Stable angina                                     
ANGINA,79253,Single anastomosis of mammary artery to coronary artery NEC                                                                                                                                                                                                    ,Stable angina                                     
ANGINA,79254,Single implantation of mammary artery into coronary artery                                                                                                                                                                                                     ,Stable angina                                     
ANGINA,7925y,Connection of mammary artery to coronary artery OS                                                                                                                                                                                                             ,Stable angina                                     
ANGINA,7925z,Connection of mammary artery to coronary artery NOS                                                                                                                                                                                                            ,Stable angina                                     
ANGINA,7926,Connection of other thoracic artery to coronary artery                                                                                                                                                                                                         ,Stable angina                                     
ANGINA,79260,Double anastom thoracic arteries to coronary arteries NEC                                                                                                                                                                                                      ,Stable angina                                     
ANGINA,79262,Single anastomosis of thoracic artery to coronary artery NEC                                                                                                                                                                                                   ,Stable angina                                     
ANGINA,79263,Single implantation thoracic artery into coronary artery NEC                                                                                                                                                                                                   ,Stable angina                                     
ANGINA,7926z,Connection of other thoracic artery to coronary artery NOS                                                                                                                                                                                                     ,Stable angina                                     
ANGINA,79275,Open angioplasty of coronary artery                                                                                                                                                                                                                            ,Stable angina                                     
ANGINA,7928,Percutaneous balloon coronary angioplasty                                                                                                                                                                                                                      ,Stable angina                                     
ANGINA,79280,Percut transluminal balloon angioplasty one coronary artery                                                                                                                                                                                                    ,Stable angina                                     
ANGINA,79281,Percut translum balloon angioplasty mult coronary arteries                                                                                                                                                                                                     ,Stable angina                                     
ANGINA,79282,Percut translum balloon angioplasty bypass graft coronary a                                                                                                                                                                                                    ,Stable angina                                     
ANGINA,79283,Percut translum cutting balloon angioplasty coronary artery                                                                                                                                                                                                    ,Stable angina                                     
ANGINA,7928y,Transluminal balloon angioplasty of coronary artery OS                                                                                                                                                                                                         ,Stable angina                                     
ANGINA,7928z,Transluminal balloon angioplasty of coronary artery NOS                                                                                                                                                                                                        ,Stable angina                                     
ANGINA,79290,Percutaneous transluminal laser coronary angioplasty                                                                                                                                                                                                           ,Stable angina                                     
ANGINA,79293,Rotary blade coronary angioplasty                                                                                                                                                                                                                              ,Stable angina                                     
ANGINA,79294,Insertion of coronary artery stent                                                                                                                                                                                                                             ,Stable angina                                     
ANGINA,79295,Insertion of drug-eluting coronary artery stent                                                                                                                                                                                                                ,Stable angina                                     
ANGINA,79296,Percutaneous transluminal atherectomy of coronary artery                                                                                                                                                                                                       ,Stable angina                                     
ANGINA,792B0,Endarterectomy of coronary artery NEC                                                                                                                                                                                                                          ,Stable angina                                     
ANGINA,792C.,Other replacement of coronary artery                                                                                                                                                                                                                           ,Stable angina                                     
ANGINA,792C0,Replacement of coronary arteries using multiple methods                                                                                                                                                                                                        ,Stable angina                                     
ANGINA,792Cy,Other specified replacement of coronary artery                                                                                                                                                                                                                 ,Stable angina                                     
ANGINA,792Cz,Replacement of coronary artery NOS                                                                                                                                                                                                                             ,Stable angina                                     
ANGINA,792D.,Other bypass of coronary artery                                                                                                                                                                                                                                ,Stable angina                                     
ANGINA,792Dy,Other specified other bypass of coronary artery                                                                                                                                                                                                                ,Stable angina                                     
ANGINA,792Dz,Other bypass of coronary artery NOS                                                                                                                                                                                                                            ,Stable angina                                     
ANGINA,793G.,Perc translumin balloon angioplasty stenting coronary artery                                                                                                                                                                                                   ,Stable angina                                     
ANGINA,793G0,Perc translum ball angio insert 1-2 drug elut stents cor art                                                                                                                                                                                                   ,Stable angina                                     
ANGINA,793G1,Perc tran ball angio ins 3 or more drug elut stents cor art                                                                                                                                                                                                    ,Stable angina                                     
ANGINA,793G2,Perc translum balloon angioplasty insert 1-2 stents cor art                                                                                                                                                                                                    ,Stable angina                                     
ANGINA,793G3,Percutaneous cor balloon angiop 3 more stents cor art NEC                                                                                                                                                                                                      ,Stable angina                                     
ANGINA,793Gy,OS perc translumina balloon angioplast stenting coronary art                                                                                                                                                                                                   ,Stable angina                                     
ANGINA,793Gz,Perc translum balloon angioplasty stenting coronary art NOS                                                                                                                                                                                                    ,Stable angina                                     
ANGINA,7A540,Percutaneous transluminal angioplasty of artery NEC                                                                                                                                                                                                            ,Stable angina                                     
ANGINA,7A545,Rotary blade angioplasty                                                                                                                                                                                                                                       ,Stable angina                                     
ANGINA,7A548,Percutaneous transluminal atherectomy                                                                                                                                                                                                                          ,Stable angina                                     
ANGINA,7A564,Percutaneous transluminal balloon angioplasty of artery                                                                                                                                                                                                        ,Stable angina                                     
ANGINA,7A6G1,Peroperative angioplasty                                                                                                                                                                                                                                       ,Stable angina                                     
ANGINA,7A6H3,Prosthetic graft patch angioplasty                                                                                                                                                                                                                             ,Stable angina                                     
ANGINA,7A6H4,Percutaneous transluminal angioplasty of vascular graft                                                                                                                                                                                                        ,Stable angina                                     
ANGINA,8B27.,Antianginal therapy                                                                                                                                                                                                                                            ,Stable angina                                     
ANGINA,G33..,Angina pectoris                                                                                                                                                                                                                                                ,Stable angina                                     
ANGINA,G330.,Angina decubitus                                                                                                                                                                                                                                               ,Stable angina                                     
ANGINA,G3300,Nocturnal angina                                                                                                                                                                                                                                               ,Stable angina                                     
ANGINA,G330z,Angina decubitus NOS                                                                                                                                                                                                                                           ,Stable angina                                     
ANGINA,G33z.,Angina pectoris NOS                                                                                                                                                                                                                                            ,Stable angina                                     
ANGINA,G33z1,Stenocardia                                                                                                                                                                                                                                                    ,Stable angina                                     
ANGINA,G33z2,Syncope anginosa                                                                                                                                                                                                                                               ,Stable angina                                     
ANGINA,G33z3,Angina on effort                                                                                                                                                                                                                                               ,Stable angina                                     
ANGINA,G33z4,Ischaemic chest pain                                                                                                                                                                                                                                           ,Stable angina                                     
ANGINA,G33z5,Post infarct angina                                                                                                                                                                                                                                            ,Stable angina                                     
ANGINA,G33z6,New onset angina                                                                                                                                                                                                                                               ,Stable angina                                     
ANGINA,G33z7,Stable angina                                                                                                                                                                                                                                                  ,Stable angina                                     
ANGINA,G33zz,Angina pectoris NOS                                                                                                                                                                                                                                            ,Stable angina                                     
ANGINA,G34y0,Chronic coronary insufficiency                                                                                                                                                                                                                                 ,Stable angina                                     
ANGINA,Gyu30,[X]Other forms of angina pectoris                                                                                                                                                                                                                              ,Stable angina                                     
ANGINA,SP003,Mechanical complication of coronary bypass                                                                                                                                                                                                                     ,Stable angina                                     
ANGINA,SP076,Coronary artery bypass graft occlusion                                                                                                                                                                                                                         ,Stable angina                                     
ANGINA,14A5.,H/O: angina pectoris                                                                                                                                                                                                                                           ,Stable angina                                               
ANGINA,14AJ.,H/O: Angina in last year                                                                                                                                                                                                                                       ,Stable angina                                               
ANGINA,32131,Exercise ECG abnormal                                                                                                                                                                                                                                          ,Stable angina                                               
ANGINA,322..,ECG: myocardial ischaemia                                                                                                                                                                                                                                      ,Stable angina                                               
ANGINA,3222,ECG:shows myocardial ischaemia                                                                                                                                                                                                                                 ,Stable angina                                               
ANGINA,322Z.,ECG: myocardial ischaemia NOS                                                                                                                                                                                                                                  ,Stable angina                                               
ANGINA,32E4.,ECG: S-T depression                                                                                                                                                                                                                                            ,Stable angina                                               
ANGINA,32F2.,ECG: T wave abnormal                                                                                                                                                                                                                                           ,Stable angina                                               
ANGINA,32F3.,ECG: T wave flattened                                                                                                                                                                                                                                          ,Stable angina                                               
ANGINA,32F4.,ECG: T wave inverted                                                                                                                                                                                                                                           ,Stable angina                                               
ANGINA,33B95,Exercise tolerance test abnormal                                                                                                                                                                                                                               ,Stable angina                                               
ANGINA,5543,Coronary arteriograph.abnormal                                                                                                                                                                                                                                 ,Stable angina                                               
ANGINA,5C11.,Radionuclide heart study abnormal                                                                                                                                                                                                                              ,Stable angina                                               
ANGINA,662K.,Angina control                                                                                                                                                                                                                                                 ,Stable angina                                               
ANGINA,662K0,Angina control - good                                                                                                                                                                                                                                          ,Stable angina                                               
ANGINA,662K1,Angina control - poor                                                                                                                                                                                                                                          ,Stable angina                                               
ANGINA,662K2,Angina control - improving                                                                                                                                                                                                                                     ,Stable angina                                               
ANGINA,662Kz,Angina control NOS                                                                                                                                                                                                                                             ,Stable angina                                               
ANGINA,792..,Coronary artery bypass graft operations                                                                                                                                                                                                                        ,Stable angina                                               
ANGINA,7920,Saphenous vein graft replacement of coronary artery                                                                                                                                                                                                            ,Stable angina                                               
ANGINA,79200,Saphenous vein graft replacement of one coronary artery                                                                                                                                                                                                        ,Stable angina                                               
ANGINA,79201,Saphenous vein graft replacement of two coronary arteries                                                                                                                                                                                                      ,Stable angina                                               
ANGINA,79202,Saphenous vein graft replacement of three coronary arteries                                                                                                                                                                                                    ,Stable angina                                               
ANGINA,79203,Saphenous vein graft replacement of four+ coronary arteries                                                                                                                                                                                                    ,Stable angina                                               
ANGINA,7920y,Saphenous vein graft replacement of coronary artery OS                                                                                                                                                                                                         ,Stable angina                                               
ANGINA,7920z,Saphenous vein graft replacement coronary artery NOS                                                                                                                                                                                                           ,Stable angina                                               
ANGINA,7921,Other autograft bypass of coronary artery                                                                                                                                                                                                                      ,Stable angina                                               
ANGINA,79210,Autograft replacement of one coronary artery NEC                                                                                                                                                                                                               ,Stable angina                                               
ANGINA,79211,Autograft replacement of two coronary arteries NEC                                                                                                                                                                                                             ,Stable angina                                               
ANGINA,79212,Autograft replacement of three coronary arteries NEC                                                                                                                                                                                                           ,Stable angina                                               
ANGINA,79213,Autograft replacement of four of more coronary arteries NEC                                                                                                                                                                                                    ,Stable angina                                               
ANGINA,7921y,Other autograft replacement of coronary artery OS                                                                                                                                                                                                              ,Stable angina                                               
ANGINA,7921z,Other autograft replacement of coronary artery NOS                                                                                                                                                                                                             ,Stable angina                                               
ANGINA,7922,Allograft replacement of coronary artery                                                                                                                                                                                                                       ,Stable angina                                               
ANGINA,79220,Allograft replacement of one coronary artery                                                                                                                                                                                                                   ,Stable angina                                               
ANGINA,79221,Allograft replacement of two coronary arteries                                                                                                                                                                                                                 ,Stable angina                                               
ANGINA,79222,Allograft replacement of three coronary arteries                                                                                                                                                                                                               ,Stable angina                                               
ANGINA,79223,Allograft replacement of four or more coronary arteries                                                                                                                                                                                                        ,Stable angina                                               
ANGINA,7922y,Other specified allograft replacement of coronary artery                                                                                                                                                                                                       ,Stable angina                                               
ANGINA,7922z,Allograft replacement of coronary artery NOS                                                                                                                                                                                                                   ,Stable angina                                               
ANGINA,7923,Prosthetic replacement of coronary artery                                                                                                                                                                                                                      ,Stable angina                                               
ANGINA,79230,Prosthetic replacement of one coronary artery                                                                                                                                                                                                                  ,Stable angina                                               
