Phenotype,Read code,Description,Category
ARTERY_DISSECT,G6730,,Dissection of artery                              
ARTERY_DISSECT,G6732,,Dissection of artery                              
ARTERY_DISSECT,G6733,,Dissection of artery                              
ARTERY_DISSECT,G725.,,Dissection of artery                              
ARTERY_DISSECT,G726.,,Dissection of artery                              
ARTERY_DISSECT,G727.,,Dissection of artery                              
ARTERY_DISSECT,G728.,,Dissection of artery                              
ARTERY_DISSECT,G729.,,Dissection of artery                              
ARTERY_DISSECT,G72A.,,Dissection of artery                              
ARTERY_DISSECT,G72B.,,Dissection of artery                              
ARTERY_DISSECT,G72B0,,Dissection of artery                              
ARTERY_DISSECT,G72B1,,Dissection of artery                              
