Phenotype,Read code,Description,Category
CKD,14S2.,H/O: kidney recipient                                                                                                                                                                                                                                          ,
CKD,7A600,Insertion of arteriovenous prosthesis                                                                                                                                                                                                                          ,
CKD,7A602,Attention to arteriovenous shunt                                                                                                                                                                                                                               ,
CKD,7A603,Removal of infected arteriovenous shunt                                                                                                                                                                                                                        ,
CKD,7A60y,Other specified arteriovenous shunt                                                                                                                                                                                                                            ,
CKD,7A60z,Arteriovenous shunt NOS                                                                                                                                                                                                                                        ,
CKD,7A614,Ligation of acquired arteriovenous fistula                                                                                                                                                                                                                     ,
CKD,7A614,Ligation of acquired arteriovenous fistula                                                                                                                                                                                                                     ,
CKD,7A6E2,Declotting of thigh vein loop                                                                                                                                                                                                                                  ,
CKD,7B00.,Renal transplant                                                                                                                                                                                                                                               ,
CKD,7B001,Live donor renal transplant                                                                                                                                                                                                                                    ,
CKD,7B002,Cadaveric renal transplant                                                                                                                                                                                                                                     ,
CKD,7B00y,Other specified transplantation of kidney                                                                                                                                                                                                                      ,
CKD,7B00z,Transplantation of kidney NOS                                                                                                                                                                                                                                  ,
CKD,7L1A.,Compensation for renal failure (& dialysis)                                                                                                                                                                                                                    ,
CKD,7L1A0,(Renal dialysis) or (Thomas intravascular dialysis shunt)                                                                                                                                                                                                      ,
CKD,7L1A1,Peritoneal dialysis                                                                                                                                                                                                                                            ,
CKD,7L1A2,Haemodialysis NEC                                                                                                                                                                                                                                              ,
CKD,7L1Ay,Other specified compensation for renal failure                                                                                                                                                                                                                 ,
CKD,7L1Az,Compensation for renal failure NOS                                                                                                                                                                                                                             ,
CKD,7L1B.,Chronic ambulatory peritoneal dialysis catheter procedure ++                                                                                                                                                                                                   ,
CKD,7L1B0,Insertion of chronic ambulatory peritoneal dialysis catheter                                                                                                                                                                                                   ,
CKD,7L1B0,Insertion of chronic ambulatory peritoneal dialysis catheter                                                                                                                                                                                                   ,
CKD,7L1B1,Removal of chronic ambulatory peritoneal dialysis catheter                                                                                                                                                                                                     ,
CKD,7L1By,Placement ambulatory apparatus- compensate renal failure OS                                                                                                                                                                                                    ,
CKD,7L1Bz,Placement ambulatory apparatus- compensate renal failure NOS                                                                                                                                                                                                   ,
CKD,7L1C.,Placement other apparatus for compensation for renal failure                                                                                                                                                                                                   ,
CKD,7L1C0,Insertion of temporary peritoneal dialysis catheter                                                                                                                                                                                                            ,
CKD,7L1Cy,Placement other apparatus- compensate for renal failure OS                                                                                                                                                                                                     ,
CKD,7L1Cz,Placement other apparatus- compensate for renal failure NOS                                                                                                                                                                                                    ,
CKD,8877,Ultrafiltration                                                                                                                                                                                                                                                ,
CKD,8882,Intestinal dialysis                                                                                                                                                                                                                                            ,
CKD,G760.,Acquired arteriovenous fistula                                                                                                                                                                                                                                 ,
CKD,TA020,"Accid cut,puncture,perf,h'ge - kidney dialysis                                                                                                                                                                                                                 ",
CKD,TA020,"Accid cut,puncture,perf,h'ge - kidney dialysis                                                                                                                                                                                                                 ",
