Phenotype,Read code,Description,Category
HF,14A6.,H/O: heart failure                                                                                                                                                                                                                                             ,History of Heart failure                          
HF,14AM.,H/O: Heart failure in last year                                                                                                                                                                                                                                ,History of Heart failure                          
HF,1O1..,Heart failure confirmed                                                                                                                                                                                                                                        ,Diagnosis of Heart failure                        
HF,388D.,New York Heart Assoc classification heart failure symptoms                                                                                                                                                                                                     ,Diagnosis of Heart failure                        
HF,661M5,Heart failure self-management plan agreed                                                                                                                                                                                                                      ,History of Heart failure                          
HF,662T.,Congestive heart failure monitoring                                                                                                                                                                                                                            ,History of Heart failure                          
HF,662W.,Heart failure annual review                                                                                                                                                                                                                                    ,History of Heart failure                          
HF,662f.,New York Heart Association classification - class I                                                                                                                                                                                                            ,Diagnosis of Heart failure                        
HF,662g.,New York Heart Association classification - class II                                                                                                                                                                                                           ,Diagnosis of Heart failure                        
HF,662h.,New York Heart Association classification - class III                                                                                                                                                                                                          ,Diagnosis of Heart failure                        
HF,662i.,New York Heart Association classification - class IV                                                                                                                                                                                                           ,Diagnosis of Heart failure                        
HF,662p.,Heart failure 6 month review                                                                                                                                                                                                                                   ,History of Heart failure                          
HF,679W1,Education about deteriorating heart failure                                                                                                                                                                                                                    ,History of Heart failure                          
HF,679X.,Heart failure education                                                                                                                                                                                                                                        ,History of Heart failure                          
HF,8B29.,Cardiac failure therapy                                                                                                                                                                                                                                        ,Diagnosis of Heart failure                        
HF,8CL3.,Heart failure care plan discussed with patient                                                                                                                                                                                                                 ,History of Heart failure                          
HF,8CMK.,Has heart failure management plan                                                                                                                                                                                                                              ,History of Heart failure                          
HF,8CMW8,Heart failure clinical pathway                                                                                                                                                                                                                                 ,History of Heart failure                          
HF,8CeC.,Preferred place of care for next exacerbation heart failure                                                                                                                                                                                                    ,History of Heart failure                          
HF,8H2S.,Admit heart failure emergency                                                                                                                                                                                                                                  ,History of Heart failure                          
HF,8HBE.,Heart failure follow-up                                                                                                                                                                                                                                        ,History of Heart failure                          
HF,8HHz.,Referral to heart failure exercise programme                                                                                                                                                                                                                   ,History of Heart failure                          
HF,8Hk0.,Referred to heart failure education group                                                                                                                                                                                                                      ,History of Heart failure                          
HF,9N2p.,Seen by community heart failure nurse                                                                                                                                                                                                                          ,History of Heart failure                          
HF,9N6T.,Referred by heart failure nurse specialist                                                                                                                                                                                                                     ,History of Heart failure                          
HF,9On..,Left ventricular dysfunction monitoring administration                                                                                                                                                                                                         ,History of Heart failure                          
HF,9On0.,Left ventricular dysfunction monitoring first letter                                                                                                                                                                                                           ,History of Heart failure                          
HF,9On1.,Left ventricular dysfunction monitoring second letter                                                                                                                                                                                                          ,History of Heart failure                          
HF,9On2.,Left ventricular dysfunction monitoring third letter                                                                                                                                                                                                           ,History of Heart failure                          
HF,9On3.,Left ventricular dysfunction monitoring verbal invite                                                                                                                                                                                                          ,History of Heart failure                          
HF,9On4.,Left ventricular dysfunction monitoring telephone invite                                                                                                                                                                                                       ,History of Heart failure                          
HF,9Or..,Heart failure monitoring administration                                                                                                                                                                                                                        ,History of Heart failure                          
HF,9Or0.,Heart failure review completed                                                                                                                                                                                                                                 ,History of Heart failure                          
HF,9Or1.,Heart failure monitoring telephone invite                                                                                                                                                                                                                      ,History of Heart failure                          
HF,9Or2.,Heart failure monitoring verbal invite                                                                                                                                                                                                                         ,History of Heart failure                          
HF,9Or3.,Heart failure monitoring first letter                                                                                                                                                                                                                          ,History of Heart failure                          
HF,9Or4.,Heart failure monitoring second letter                                                                                                                                                                                                                         ,History of Heart failure                          
HF,9Or5.,Heart failure monitoring third letter                                                                                                                                                                                                                          ,History of Heart failure                          
HF,9h1..,Exception reporting: LVD quality indicators                                                                                                                                                                                                                    ,History of Heart failure                          
HF,9h11.,Excepted from LVD quality indicators: Patient unsuitable                                                                                                                                                                                                       ,History of Heart failure                          
HF,9h12.,Excepted from LVD quality indicators: Informed dissent                                                                                                                                                                                                         ,History of Heart failure                          
HF,9hH..,Exception reporting: heart failure quality indicators                                                                                                                                                                                                          ,History of Heart failure                          
HF,9hH0.,Excepted heart failure quality indicators: Patient unsuitabl                                                                                                                                                                                                   ,History of Heart failure                          
HF,9hH1.,Excepted heart failure quality indicators: Informed dissent                                                                                                                                                                                                    ,History of Heart failure                          
HF,G1yz1,Rheumatic left ventricular failure                                                                                                                                                                                                                             ,Diagnosis of Heart failure                        
HF,G2101,Malignant hypertensive heart disease with CCF                                                                                                                                                                                                                  ,Diagnosis of Heart failure                        
HF,G2111,Benign hypertensive heart disease with CCF                                                                                                                                                                                                                     ,Diagnosis of Heart failure                        
HF,G21z1,Hypertensive heart disease NOS with CCF                                                                                                                                                                                                                        ,Diagnosis of Heart failure                        
HF,G232.,Hypertensive heart&renal dis wth (congestive) heart failure                                                                                                                                                                                                    ,Diagnosis of Heart failure                        
HF,G234.,Hyperten heart&renal dis+both(congestv)heart and renal fail                                                                                                                                                                                                    ,Diagnosis of Heart failure                        
HF,G400.,Acute cor pulmonale                                                                                                                                                                                                                                            ,Diagnosis of Heart failure                        
HF,G41z.,Chronic cor pulmonale                                                                                                                                                                                                                                          ,Diagnosis of Heart failure                        
HF,G5540,Congestive cardiomyopathy                                                                                                                                                                                                                                      ,Diagnosis of Heart failure                        
HF,G58..,Heart failure                                                                                                                                                                                                                                                  ,Diagnosis of Heart failure                        
HF,G580.,Congestive heart failure                                                                                                                                                                                                                                       ,Diagnosis of Heart failure                        
