Phenotype,Read code,Description,Category
LIVER_DISEASE,7609,Open operations on oesophageal varices                                                                                                                                                                                                                         ,
LIVER_DISEASE,76093,Local ligation of oesophageal varices                                                                                                                                                                                                                          ,
LIVER_DISEASE,76094,Open injection sclerotherapy to oesophageal varices                                                                                                                                                                                                            ,
LIVER_DISEASE,7609y,Oesophageal varices operation: [OS open] or [Tanner]                                                                                                                                                                                                           ,
LIVER_DISEASE,7609z,Open operation on oesophageal varices NOS                                                                                                                                                                                                                      ,
LIVER_DISEASE,760C3,Fibreoptic oesophagoscopy & injection sclerotherapy varices                                                                                                                                                                                                    ,
LIVER_DISEASE,760C5,Fibreoptic oesophagoscopy and banding of oesophageal varices                                                                                                                                                                                                   ,
LIVER_DISEASE,760F3,Rigid oesophagoscopy and injection sclerotherapy of varices                                                                                                                                                                                                    ,
LIVER_DISEASE,760F4,Rigid oesophagoscopy and banding of oesophageal varices                                                                                                                                                                                                        ,
LIVER_DISEASE,760J4,Balloon tamponade of oesophagus                                                                                                                                                                                                                                ,
LIVER_DISEASE,7800,Liver transplant                                                                                                                                                                                                                                               ,
LIVER_DISEASE,78000,Orthotopic liver transplant                                                                                                                                                                                                                                    ,
LIVER_DISEASE,78001,Heterotopic liver transplant                                                                                                                                                                                                                                   ,
LIVER_DISEASE,78001,Heterotopic liver transplant                                                                                                                                                                                                                                   ,
LIVER_DISEASE,78002,Replacement of previous liver transplant                                                                                                                                                                                                                       ,
LIVER_DISEASE,7800y,Other specified transplantation of liver                                                                                                                                                                                                                       ,
LIVER_DISEASE,7800z,Transplantation of liver NOS                                                                                                                                                                                                                                   ,
LIVER_DISEASE,78052,Exploration liver (& transplanted)                                                                                                                                                                                                                             ,
LIVER_DISEASE,A704.,Other specified viral hepatitis with coma                                                                                                                                                                                                                      ,
LIVER_DISEASE,A7040,Viral hepatitis C with coma                                                                                                                                                                                                                                    ,
LIVER_DISEASE,A704z,Other specified viral hepatitis with hepatic coma NOS                                                                                                                                                                                                          ,
LIVER_DISEASE,A706.,Unspecified viral hepatitis with coma                                                                                                                                                                                                                          ,
LIVER_DISEASE,A7071,Chronic viral hepatitis B without delta-agent                                                                                                                                                                                                                  ,
LIVER_DISEASE,A7072,Chronic viral hepatitis C                                                                                                                                                                                                                                      ,
LIVER_DISEASE,AyuB1,[X]Other chronic viral hepatitis                                                                                                                                                                                                                               ,
LIVER_DISEASE,AyuB2,"[X]Chronic viral hepatitis, unspecified                                                                                                                                                                                                                        ",
LIVER_DISEASE,AyuB3,[X]Unspecified viral hepatitis with coma                                                                                                                                                                                                                       ,
LIVER_DISEASE,F10y0,Progressive neuronal degeneration with liver cirrhosis                                                                                                                                                                                                         ,
LIVER_DISEASE,G850.,Bleeding oesophageal varices                                                                                                                                                                                                                                   ,
LIVER_DISEASE,G851.,Oesophageal varices without bleeding                                                                                                                                                                                                                           ,
LIVER_DISEASE,G852.,Oesophageal varices in diseases EC                                                                                                                                                                                                                             ,
LIVER_DISEASE,G8520,Oesophageal varices with bleeding in diseases EC                                                                                                                                                                                                               ,
LIVER_DISEASE,G8521,Oesophageal varices without bleeding in diseases EC                                                                                                                                                                                                            ,
LIVER_DISEASE,G852z,Oesophageal varices in diseases EC NOS                                                                                                                                                                                                                         ,
LIVER_DISEASE,G857.,Gastric varices                                                                                                                                                                                                                                                ,
LIVER_DISEASE,Gyu94,[X]Oesophageal varices in diseases classified elsewhere                                                                                                                                                                                                        ,
LIVER_DISEASE,J6000,Acute hepatic failure                                                                                                                                                                                                                                          ,
LIVER_DISEASE,J6010,Subacute hepatic failure                                                                                                                                                                                                                                       ,
LIVER_DISEASE,J61..,Cirrhosis and chronic liver disease                                                                                                                                                                                                                            ,
LIVER_DISEASE,J610.,Alcoholic fatty liver                                                                                                                                                                                                                                          ,
LIVER_DISEASE,J611.,Acute alcoholic hepatitis                                                                                                                                                                                                                                      ,
LIVER_DISEASE,J612.,Cirrhosis: [florid] or [alcoholic]                                                                                                                                                                                                                             ,
LIVER_DISEASE,J613.,Alcoholic liver damage unspecified                                                                                                                                                                                                                             ,
LIVER_DISEASE,J614.,Chronic hepatitis                                                                                                                                                                                                                                              ,
LIVER_DISEASE,J6140,Chronic persistent hepatitis                                                                                                                                                                                                                                   ,
LIVER_DISEASE,J6141,Chronic active hepatitis                                                                                                                                                                                                                                       ,
LIVER_DISEASE,J6142,Chronic aggressive hepatitis                                                                                                                                                                                                                                   ,
LIVER_DISEASE,J6143,Recurrent hepatitis                                                                                                                                                                                                                                            ,
LIVER_DISEASE,J614y,Chronic hepatitis unspecified                                                                                                                                                                                                                                  ,
LIVER_DISEASE,J614z,Chronic hepatitis NOS                                                                                                                                                                                                                                          ,
LIVER_DISEASE,J615.,(Cirrhosis - non alcoholic) or (portal cirrhosis)                                                                                                                                                                                                              ,
LIVER_DISEASE,J6150,Unilobular portal cirrhosis                                                                                                                                                                                                                                    ,
LIVER_DISEASE,J6151,Cirrhosis of liver: [multilobular portal] or [postnecrotic]                                                                                                                                                                                                    ,
LIVER_DISEASE,J6152,Mixed portal cirrhosis                                                                                                                                                                                                                                         ,
LIVER_DISEASE,J6153,Diffuse nodular cirrhosis                                                                                                                                                                                                                                      ,
LIVER_DISEASE,J6154,Fatty portal cirrhosis                                                                                                                                                                                                                                         ,
LIVER_DISEASE,J6155,Macronodular cirrhosis                                                                                                                                                                                                                                         ,
LIVER_DISEASE,J6156,Capsular portal cirrhosis                                                                                                                                                                                                                                      ,
LIVER_DISEASE,J6157,Cirrhosis: [cardiac portal] or [congestive]                                                                                                                                                                                                                    ,
LIVER_DISEASE,J6158,Cirrhosis: [juv portal] or [childh funct] or [Indian childh]                                                                                                                                                                                                   ,
LIVER_DISEASE,J6159,Pigmentary portal cirrhosis                                                                                                                                                                                                                                    ,
LIVER_DISEASE,J615A,Pipestem portal cirrhosis                                                                                                                                                                                                                                      ,
LIVER_DISEASE,J615B,Toxic portal cirrhosis                                                                                                                                                                                                                                         ,
LIVER_DISEASE,J615D,Bacterial portal cirrhosis                                                                                                                                                                                                                                     ,
LIVER_DISEASE,J615F,Syphilitic portal cirrhosis                                                                                                                                                                                                                                    ,
LIVER_DISEASE,J615G,Zooparasitic portal cirrhosis                                                                                                                                                                                                                                  ,
LIVER_DISEASE,J615H,Infectious cirrhosis NOS                                                                                                                                                                                                                                       ,
LIVER_DISEASE,J615y,Portal cirrhosis unspecified                                                                                                                                                                                                                                   ,
LIVER_DISEASE,J615z,(Liver cirrhos: [named vars] or [NOS]) or (hepat fibrosis)                                                                                                                                                                                                     ,
LIVER_DISEASE,J616.,Biliary cirrhosis                                                                                                                                                                                                                                              ,
LIVER_DISEASE,J6160,Primary biliary cirrhosis                                                                                                                                                                                                                                      ,
LIVER_DISEASE,J6161,Secondary biliary cirrhosis                                                                                                                                                                                                                                    ,
LIVER_DISEASE,J6162,Biliary cirrhosis of children                                                                                                                                                                                                                                  ,
LIVER_DISEASE,J616z,Biliary cirrhosis NOS                                                                                                                                                                                                                                          ,
LIVER_DISEASE,J617.,Alcoholic hepatitis                                                                                                                                                                                                                                            ,
LIVER_DISEASE,J61y.,Other non-alcoholic chronic liver disease                                                                                                                                                                                                                      ,
LIVER_DISEASE,J61y0,Chronic yellow atrophy                                                                                                                                                                                                                                         ,
LIVER_DISEASE,J61y3,Portal fibrosis without cirrhosis                                                                                                                                                                                                                              ,
LIVER_DISEASE,J61yz,Other non-alcoholic chronic liver disease NOS                                                                                                                                                                                                                  ,
LIVER_DISEASE,J61z.,Chronic liver disease NOS                                                                                                                                                                                                                                      ,
LIVER_DISEASE,J62..,Liver abscess and sequelae of chronic liver disease                                                                                                                                                                                                            ,
LIVER_DISEASE,J623.,Portal hypertension                                                                                                                                                                                                                                            ,
LIVER_DISEASE,J624.,Hepatorenal syndrome                                                                                                                                                                                                                                           ,
LIVER_DISEASE,J62z.,Liver abscess and chronic liver disease causing sequelae NOS                                                                                                                                                                                                   ,
LIVER_DISEASE,J630.,Chronic passive congestion of liver                                                                                                                                                                                                                            ,
