Phenotype,Read code,Description,Category
STROKE_ISCH,14A7.,H/O: CVA/stroke                                                                                                                                                                                                                                                ,History of Stroke NOS                             
STROKE_ISCH,14AK.,H/O: Stroke in last year                                                                                                                                                                                                                                       ,History of Stroke NOS                             
STROKE_ISCH,1M4..,Central post-stroke pain                                                                                                                                                                                                                                       ,History of Stroke NOS                             
STROKE_ISCH,661M7,Stroke self-management plan agreed                                                                                                                                                                                                                             ,History of Stroke NOS                             
STROKE_ISCH,661N7,Stroke self-management plan review                                                                                                                                                                                                                             ,History of Stroke NOS                             
STROKE_ISCH,662M.,Stroke monitoring                                                                                                                                                                                                                                              ,History of Stroke NOS                             
STROKE_ISCH,662M1,Stroke 6 month review                                                                                                                                                                                                                                          ,History of Stroke NOS                             
STROKE_ISCH,662M2,Stroke initial post discharge review                                                                                                                                                                                                                           ,History of Stroke NOS                             
STROKE_ISCH,662e.,Stroke/CVA annual review                                                                                                                                                                                                                                       ,History of Stroke NOS                             
STROKE_ISCH,7P242,Delivery of rehabilitation for stroke                                                                                                                                                                                                                          ,History of Stroke NOS                             
STROKE_ISCH,8HHM.,Ref to multidisciplinary stroke function improvement service                                                                                                                                                                                                   ,History of Stroke NOS                             
STROKE_ISCH,8IEC.,Ref multidisciplinary stroke function improvement declined                                                                                                                                                                                                     ,History of Stroke NOS                             
STROKE_ISCH,9h2..,Exception reporting: stroke quality indicators                                                                                                                                                                                                                 ,History of Stroke NOS                             
STROKE_ISCH,9h21.,Excepted from stroke quality indicators: Patient unsuitable                                                                                                                                                                                                    ,History of Stroke NOS                             
STROKE_ISCH,9h22.,Excepted from stroke quality indicators: Informed dissent                                                                                                                                                                                                      ,History of Stroke NOS                             
STROKE_ISCH,Fyu56,[X]Other lacunar syndromes                                                                                                                                                                                                                                     ,Diagnosis of Stroke NOS                           
STROKE_ISCH,G63..,Infarction - precerebral                                                                                                                                                                                                                                       ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G63y0,Cerebral infarct due to thrombosis of precerebral arteries                                                                                                                                                                                                     ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G63y1,Cerebral infarction due to embolism of precerebral arteries                                                                                                                                                                                                    ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G64..,Cerebral arterial occlusion                                                                                                                                                                                                                                    ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G640.,Cerebral thrombosis                                                                                                                                                                                                                                            ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G6400,Cerebral infarction due to thrombosis of cerebral arteries                                                                                                                                                                                                     ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G641.,Cerebral embolism                                                                                                                                                                                                                                              ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G6410,Cerebral infarction due to embolism of cerebral arteries                                                                                                                                                                                                       ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G64z.,Cerebral infarction NOS                                                                                                                                                                                                                                        ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G64z0,Brainstem infarction                                                                                                                                                                                                                                           ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G64z1,Wallenberg syndrome                                                                                                                                                                                                                                            ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G64z2,Left sided cerebral infarction                                                                                                                                                                                                                                 ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G64z3,Right sided cerebral infarction                                                                                                                                                                                                                                ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G64z4,Infarction of basal ganglia                                                                                                                                                                                                                                    ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G66..,Stroke and cerebrovascular accident unspecified                                                                                                                                                                                                                ,Diagnosis of Stroke NOS                           
STROKE_ISCH,G663.,Brain stem stroke syndrome                                                                                                                                                                                                                                     ,Diagnosis of Stroke NOS                           
STROKE_ISCH,G664.,Cerebellar stroke syndrome                                                                                                                                                                                                                                     ,Diagnosis of Stroke NOS                           
STROKE_ISCH,G665.,Pure motor lacunar syndrome                                                                                                                                                                                                                                    ,Diagnosis of Stroke NOS                           
STROKE_ISCH,G666.,Pure sensory lacunar syndrome                                                                                                                                                                                                                                  ,Diagnosis of Stroke NOS                           
STROKE_ISCH,G667.,Left sided CVA                                                                                                                                                                                                                                                 ,Diagnosis of Stroke NOS                           
STROKE_ISCH,G668.,Right sided CVA                                                                                                                                                                                                                                                ,Diagnosis of Stroke NOS                           
STROKE_ISCH,G683.,Sequelae of cerebral infarction                                                                                                                                                                                                                                ,History of Ischaemic stroke                       
STROKE_ISCH,G68X.,"Sequelae of stroke,not specfd as h'morrhage or infarction                                                                                                                                                                                                      ",History of Stroke NOS                             
STROKE_ISCH,G6W..,Cereb infarct due unsp occlus/stenos precerebr arteries                                                                                                                                                                                                        ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,G6X..,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs                                                                                                                                                                                                      ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,Gyu63,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs                                                                                                                                                                                                   ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,Gyu64,[X]Other cerebral infarction                                                                                                                                                                                                                                   ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,Gyu6C,"[X]Sequelae of stroke,not specfd as h'morrhage or infarction                                                                                                                                                                                                   ",History of Stroke NOS                             
STROKE_ISCH,Gyu6G,[X]Cereb infarct due unsp occlus/stenos precerebr arteries                                                                                                                                                                                                     ,Diagnosis of Ischaemic stroke                     
STROKE_ISCH,L440.,CVA - cerebrovascular accident in the puerperium                                                                                                                                                                                                               ,Diagnosis of Stroke NOS                           
STROKE_ISCH,ZV125,[V]Personal history of stroke                                                                                                                                                                                                                                  ,History of Stroke NOS                             
STROKE_ISCH,14A7.,H/O: CVA/stroke                                                                                                                                                                                                                                                ,History of Stroke NOS                                       
STROKE_ISCH,14AK.,H/O: Stroke in last year                                                                                                                                                                                                                                       ,History of Stroke NOS                                       
STROKE_ISCH,1M4..,Central post-stroke pain                                                                                                                                                                                                                                       ,History of Stroke NOS                                       
STROKE_ISCH,661M7,Stroke self-management plan agreed                                                                                                                                                                                                                             ,History of Stroke NOS                                       
STROKE_ISCH,661N7,Stroke self-management plan review                                                                                                                                                                                                                             ,History of Stroke NOS                                       
STROKE_ISCH,662M.,Stroke monitoring                                                                                                                                                                                                                                              ,History of Stroke NOS                                       
STROKE_ISCH,662M1,Stroke 6 month review                                                                                                                                                                                                                                          ,History of Stroke NOS                                       
STROKE_ISCH,662M2,Stroke initial post discharge review                                                                                                                                                                                                                           ,History of Stroke NOS                                       
STROKE_ISCH,662e.,Stroke/CVA annual review                                                                                                                                                                                                                                       ,History of Stroke NOS                                       
STROKE_ISCH,7P242,Delivery of rehabilitation for stroke                                                                                                                                                                                                                          ,History of Stroke NOS                                       
STROKE_ISCH,8HHM.,Ref to multidisciplinary stroke function improvement service                                                                                                                                                                                                   ,History of Stroke NOS                                       
STROKE_ISCH,8IEC.,Ref multidisciplinary stroke function improvement declined                                                                                                                                                                                                     ,History of Stroke NOS                                       
STROKE_ISCH,9h2..,Exception reporting: stroke quality indicators                                                                                                                                                                                                                 ,History of Stroke NOS                                       
STROKE_ISCH,9h21.,Excepted from stroke quality indicators: Patient unsuitable                                                                                                                                                                                                    ,History of Stroke NOS                                       
STROKE_ISCH,9h22.,Excepted from stroke quality indicators: Informed dissent                                                                                                                                                                                                      ,History of Stroke NOS                                       
STROKE_ISCH,Fyu56,[X]Other lacunar syndromes                                                                                                                                                                                                                                     ,Diagnosis of Stroke NOS                                     
STROKE_ISCH,G63..,Infarction - precerebral                                                                                                                                                                                                                                       ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G63y0,Cerebral infarct due to thrombosis of precerebral arteries                                                                                                                                                                                                     ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G63y1,Cerebral infarction due to embolism of precerebral arteries                                                                                                                                                                                                    ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G64..,Cerebral arterial occlusion                                                                                                                                                                                                                                    ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G640.,Cerebral thrombosis                                                                                                                                                                                                                                            ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G6400,Cerebral infarction due to thrombosis of cerebral arteries                                                                                                                                                                                                     ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G641.,Cerebral embolism                                                                                                                                                                                                                                              ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G6410,Cerebral infarction due to embolism of cerebral arteries                                                                                                                                                                                                       ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G64z.,Cerebral infarction NOS                                                                                                                                                                                                                                        ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G64z0,Brainstem infarction                                                                                                                                                                                                                                           ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G64z1,Wallenberg syndrome                                                                                                                                                                                                                                            ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G64z2,Left sided cerebral infarction                                                                                                                                                                                                                                 ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G64z3,Right sided cerebral infarction                                                                                                                                                                                                                                ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G64z4,Infarction of basal ganglia                                                                                                                                                                                                                                    ,Diagnosis of Ischaemic stroke                               
STROKE_ISCH,G66..,Stroke and cerebrovascular accident unspecified                                                                                                                                                                                                                ,Diagnosis of Stroke NOS                                     
STROKE_ISCH,G663.,Brain stem stroke syndrome                                                                                                                                                                                                                                     ,Diagnosis of Stroke NOS                                     
STROKE_ISCH,G664.,Cerebellar stroke syndrome                                                                                                                                                                                                                                     ,Diagnosis of Stroke NOS                                     
STROKE_ISCH,G665.,Pure motor lacunar syndrome                                                                                                                                                                                                                                    ,Diagnosis of Stroke NOS                                     
STROKE_ISCH,G666.,Pure sensory lacunar syndrome                                                                                                                                                                                                                                  ,Diagnosis of Stroke NOS                                     
STROKE_ISCH,G667.,Left sided CVA                                                                                                                                                                                                                                                 ,Diagnosis of Stroke NOS                                     
STROKE_ISCH,G668.,Right sided CVA                                                                                                                                                                                                                                                ,Diagnosis of Stroke NOS                                     
STROKE_ISCH,G683.,Sequelae of cerebral infarction                                                                                                                                                                                                                                ,History of Ischaemic stroke                                 
STROKE_ISCH,G68X.,"Sequelae of stroke,not specfd as h'morrhage or infarction                                                                                                                                                                                                      ",History of Stroke NOS                                       
