Phenotype,Read code,Description,Category
STROKE_SAH_HS,662o.,Haemorrhagic stroke monitoring                                                                                                                                                                                                                                 ,History of Intracerebral haemorrhage              
STROKE_SAH_HS,70043,Evacuation of intracerebral haematoma NEC                                                                                                                                                                                                                      ,Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G61..,Intracerebral haemorrhage                                                                                                                                                                                                                                      ,Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G610.,Cortical haemorrhage                                                                                                                                                                                                                                           ,Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G611.,Internal capsule haemorrhage                                                                                                                                                                                                                                   ,Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G612.,Basal nucleus haemorrhage                                                                                                                                                                                                                                      ,Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G613.,Cerebellar haemorrhage                                                                                                                                                                                                                                         ,Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G614.,Pontine haemorrhage                                                                                                                                                                                                                                            ,Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G615.,Bulbar haemorrhage                                                                                                                                                                                                                                             ,Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G616.,External capsule haemorrhage                                                                                                                                                                                                                                   ,Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G617.,"Intracerebral haemorrhage, intraventricular                                                                                                                                                                                                                    ",Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G618.,"Intracerebral haemorrhage, multiple localized                                                                                                                                                                                                                  ",Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G619.,Lobar cerebral haemorrhage                                                                                                                                                                                                                                     ,Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G61X.,"Intracerebral haemorrhage in hemisphere, unspecified                                                                                                                                                                                                           ",Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G61X0,"Left sided intracerebral haemorrhage, unspecified                                                                                                                                                                                                              ",Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G61X1,"Right sided intracerebral haemorrhage, unspecified                                                                                                                                                                                                             ",Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G61z.,Intracerebral haemorrhage NOS                                                                                                                                                                                                                                  ,Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,G681.,Sequelae of intracerebral haemorrhage                                                                                                                                                                                                                          ,History of Intracerebral haemorrhage              
STROKE_SAH_HS,G682.,Sequelae of other nontraumatic intracranial haemorrhage                                                                                                                                                                                                        ,History of Intracerebral haemorrhage              
STROKE_SAH_HS,Gyu62,[X]Other intracerebral haemorrhage                                                                                                                                                                                                                             ,Diagnosis of Intracerebral haemorrhage            
STROKE_SAH_HS,Gyu6F,"[X]Intracerebral haemorrhage in hemisphere, unspecified                                                                                                                                                                                                        ",Diagnosis of Intracerebral haemorrhage            
