terminology,code,term,code_type
SNOMEDCT,735112005,Date ceased using moist tobacco (observable entity),
SNOMEDCT,266922007,Ex-light cigarette smoker (1-9/day) (finding),
SNOMEDCT,266923002,Ex-moderate cigarette smoker (10-19/day) (finding),
SNOMEDCT,735128000,Ex-smoker for less than 1 year (finding),
SNOMEDCT,266923002,Ex-moderate cigarette smoker (10-19/day) (finding),
SNOMEDCT,266925009,Ex-very heavy cigarette smoker (40+/day) (finding),
SNOMEDCT,266924008,Ex-heavy cigarette smoker (20-39/day) (finding),
SNOMEDCT,266921000,Ex-trivial cigarette smoker (<1/day) (finding),
SNOMEDCT,228486009,Time since stopped smoking (observable entity),
SNOMEDCT,1092131000000100,Ex-trivial smoker (<1/day) (finding),
SNOMEDCT,492191000000103,Ex roll-up cigarette smoker (finding),
SNOMEDCT,735112005,Date ceased using moist tobacco (observable entity),
SNOMEDCT,1092031000000100,Ex-smoker amount unknown (finding),
SNOMEDCT,735128000,Ex-smoker for less than 1 year (finding),
SNOMEDCT,1092091000000100,Ex-moderate smoker (10-19/day) (finding),
SNOMEDCT,266921000,Ex-trivial cigarette smoker (<1/day) (finding),
SNOMEDCT,228486009,Time since stopped smoking (observable entity),
SNOMEDCT,266922007,Ex-light cigarette smoker (1-9/day) (finding),
SNOMEDCT,48031000119106,Ex-smoker for more than 1 year (finding),
SNOMEDCT,230058003,Pipe tobacco consumption (observable entity),
SNOMEDCT,266928006,Ex-cigarette smoker amount unknown (finding),
SNOMEDCT,266925009,Ex-very heavy cigarette smoker (40+/day) (finding),
SNOMEDCT,281018007,Ex-cigarette smoker (finding),
SNOMEDCT,1092071000000100,Ex-heavy smoker (20-39/day) (finding),
SNOMEDCT,1092111000000100,Ex-light smoker (1-9/day) (finding),
SNOMEDCT,53896009,Tolerant ex-smoker (finding),
SNOMEDCT,1092041000000100,Ex-very heavy smoker (40+/day) (finding),
SNOMEDCT,360900008,Aggressive ex-smoker (finding),
SNOMEDCT,160617001,Stopped smoking (finding),
SNOMEDCT,8517006,Ex-smoker (finding),
SNOMEDCT,8517006,Ex-smoker (finding),
SNOMEDCT,266918002,Tobacco smoking consumption (observable entity),
SNOMEDCT,1092041000000100,Ex-very heavy smoker (40+/day) (finding),
SNOMEDCT,1092091000000100,Ex-moderate smoker (10-19/day) (finding),
SNOMEDCT,266924008,Ex-heavy cigarette smoker (20-39/day) (finding),
SNOMEDCT,48031000119106,Ex-smoker for more than 1 year (finding),
SNOMEDCT,1092131000000100,Ex-trivial smoker (<1/day) (finding),
SNOMEDCT,266928006,Ex-cigarette smoker amount unknown (finding),
SNOMEDCT,492191000000103,Ex roll-up cigarette smoker (finding),
SNOMEDCT,1092031000000100,Ex-smoker amount unknown (finding),
SNOMEDCT,1092071000000100,Ex-heavy smoker (20-39/day) (finding),
SNOMEDCT,1092111000000100,Ex-light smoker (1-9/day) (finding),
SNOMEDCT,160621008,Ex-cigar smoker (finding),
SNOMEDCT,160617001,Stopped smoking (finding),
SNOMEDCT,160620009,Ex-pipe smoker (finding),
SNOMEDCT,230065006,Chain smoker (finding),
SNOMEDCT,53896009,Tolerant ex-smoker (finding),
SNOMEDCT,160625004,Date ceased smoking (observable entity),
SNOMEDCT,360890004,Intolerant ex-smoker (finding),
SNOMEDCT,281018007,Ex-cigarette smoker (finding),
SNOMEDCT,360890004,Intolerant ex-smoker (finding),
SNOMEDCT,360900008,Aggressive ex-smoker (finding),
SNOMEDCT,160620009,Ex-pipe smoker (finding),
SNOMEDCT,160621008,Ex-cigar smoker (finding),
