terminology,code,term,code_type
SNOMEDCT,160606002,Very heavy cigarette smoker (40+ cigs/day) (finding),
SNOMEDCT,401159003,Reason for restarting smoking (observable entity),
SNOMEDCT,160605003,Heavy cigarette smoker (20-39 cigs/day) (finding),
SNOMEDCT,160603005,Light cigarette smoker (1-9 cigs/day) (finding),
SNOMEDCT,413173009,Minutes from waking to first tobacco consumption (observable entity),
SNOMEDCT,428041000124106,Occasional tobacco smoker (finding),
SNOMEDCT,230064005,Very heavy cigarette smoker (finding),
SNOMEDCT,56578002,Moderate smoker (20 or less per day) (finding),
SNOMEDCT,56771006,Heavy smoker (over 20 per day) (finding),
SNOMEDCT,230062009,Moderate cigarette smoker (finding),
SNOMEDCT,266918002,Tobacco smoking consumption (observable entity),
SNOMEDCT,394873005,Not interested in stopping smoking (finding),
SNOMEDCT,394873005,Not interested in stopping smoking (finding),
SNOMEDCT,394871007,Thinking about stopping smoking (finding),
SNOMEDCT,428041000124106,Occasional tobacco smoker (finding),
SNOMEDCT,394871007,Thinking about stopping smoking (finding),
SNOMEDCT,446172000,Failed attempt to stop smoking (finding),
SNOMEDCT,160606002,Very heavy cigarette smoker (40+ cigs/day) (finding),
SNOMEDCT,203191000000107,Wants to stop smoking (finding),
SNOMEDCT,230057008,Cigar consumption (observable entity),
SNOMEDCT,230057008,Cigar consumption (observable entity),
SNOMEDCT,394872000,Ready to stop smoking (finding),
SNOMEDCT,401159003,Reason for restarting smoking (observable entity),
SNOMEDCT,230058003,Pipe tobacco consumption (observable entity),
SNOMEDCT,230060001,Light cigarette smoker (finding),
SNOMEDCT,836001000000109,Waterpipe tobacco consumption (observable entity),
SNOMEDCT,160604004,Moderate cigarette smoker (10-19 cigs/day) (finding),
SNOMEDCT,230056004,Cigarette consumption (observable entity),
SNOMEDCT,401201003,Cigarette pack-years (observable entity),
SNOMEDCT,160613002,Admitted tobacco consumption possibly untrue (finding),
SNOMEDCT,160616005,Trying to give up smoking (finding),
SNOMEDCT,203191000000107,Wants to stop smoking (finding),
SNOMEDCT,230059006,Occasional cigarette smoker (finding),
SNOMEDCT,230060001,Light cigarette smoker (finding),
SNOMEDCT,230063004,Heavy cigarette smoker (finding),
SNOMEDCT,160612007,Keeps trying to stop smoking (finding),
SNOMEDCT,160616005,Trying to give up smoking (finding),
SNOMEDCT,449868002,Smokes tobacco daily (finding),
SNOMEDCT,230063004,Heavy cigarette smoker (finding),
SNOMEDCT,308438006,Smoking restarted (finding),
SNOMEDCT,308438006,Smoking restarted (finding),
SNOMEDCT,65568007,Cigarette smoker (finding),
SNOMEDCT,65568007,Cigarette smoker (finding),
SNOMEDCT,225934006,Smokes in bed (finding),
SNOMEDCT,59978006,Cigar smoker (finding),
SNOMEDCT,59978006,Cigar smoker (finding),
SNOMEDCT,82302008,Pipe smoker (finding),
SNOMEDCT,77176002,Smoker (finding),
SNOMEDCT,134406006,Smoking reduced (finding),
SNOMEDCT,413173009,Minutes from waking to first tobacco consumption (observable entity),
SNOMEDCT,836001000000109,Waterpipe tobacco consumption (observable entity),
SNOMEDCT,160613002,Admitted tobacco consumption possibly untrue (finding),
SNOMEDCT,266920004,Trivial cigarette smoker (less than one cigarette/day) (finding),
SNOMEDCT,160604004,Moderate cigarette smoker (10-19 cigs/day) (finding),
SNOMEDCT,160605003,Heavy cigarette smoker (20-39 cigs/day) (finding),
SNOMEDCT,160603005,Light cigarette smoker (1-9 cigs/day) (finding),
SNOMEDCT,230056004,Cigarette consumption (observable entity),
SNOMEDCT,446172000,Failed attempt to stop smoking (finding),
SNOMEDCT,56578002,Moderate smoker (20 or less per day) (finding),
SNOMEDCT,56771006,Heavy smoker (over 20 per day) (finding),
SNOMEDCT,160625004,Date ceased smoking (observable entity),
SNOMEDCT,266920004,Trivial cigarette smoker (less than one cigarette/day) (finding),
SNOMEDCT,266929003,Smoking started (finding),
SNOMEDCT,160612007,Keeps trying to stop smoking (finding),
SNOMEDCT,230059006,Occasional cigarette smoker (finding),
SNOMEDCT,230064005,Very heavy cigarette smoker (finding),
SNOMEDCT,394872000,Ready to stop smoking (finding),
SNOMEDCT,160619003,Rolls own cigarettes (finding),
SNOMEDCT,160619003,Rolls own cigarettes (finding),
SNOMEDCT,449868002,Smokes tobacco daily (finding),
SNOMEDCT,230065006,Chain smoker (finding),
SNOMEDCT,225934006,Smokes in bed (finding),
SNOMEDCT,82302008,Pipe smoker (finding),
SNOMEDCT,230062009,Moderate cigarette smoker (finding),
SNOMEDCT,266929003,Smoking started (finding),
SNOMEDCT,134406006,Smoking reduced (finding),
SNOMEDCT,77176002,Smoker (finding),
