Phenotype,Read code,Description,Category
TCP,42P2.,Auto-immune thrombocytopenia                                                                                                                                                                                                                                   ,Primary or Idiopathic Thrombocytopaenia           
TCP,42P2.,Thrombocytopenia                                                                                                                                                                                                                                               ,Secondary or other Thrombocytopaenia              
TCP,42P8.,Heparin induced thrombocytopenia screening test                                                                                                                                                                                                                ,Secondary or other Thrombocytopaenia              
TCP,C3912,Wiskott - Aldrich syndrome                                                                                                                                                                                                                                     ,Secondary or other Thrombocytopaenia              
TCP,D313.,Primary thrombocytopenia                                                                                                                                                                                                                                       ,Primary or Idiopathic Thrombocytopaenia           
TCP,D3130,Idiopathic thrombocytopenic purpura                                                                                                                                                                                                                            ,Primary or Idiopathic Thrombocytopaenia           
TCP,D3131,Congenital thrombocytopenic purpura                                                                                                                                                                                                                            ,Primary or Idiopathic Thrombocytopaenia           
TCP,D3133,[X]Essential thrombocytopenia NOS                                                                                                                                                                                                                              ,Primary or Idiopathic Thrombocytopaenia           
TCP,D313y,Other specified primary thrombocytopenia                                                                                                                                                                                                                       ,Primary or Idiopathic Thrombocytopaenia           
TCP,D313z,Primary thrombocytopenia NOS                                                                                                                                                                                                                                   ,Primary or Idiopathic Thrombocytopaenia           
TCP,D314.,Secondary thrombocytopenia                                                                                                                                                                                                                                     ,Secondary or other Thrombocytopaenia              
TCP,D3141,Thrombocytopenia due to drugs                                                                                                                                                                                                                                  ,Secondary or other Thrombocytopaenia              
TCP,D3142,Thrombocytopenia due to extracorporeal circulation of blood                                                                                                                                                                                                    ,Secondary or other Thrombocytopaenia              
TCP,D3143,Heparin-induced thrombocytopenia                                                                                                                                                                                                                               ,Secondary or other Thrombocytopaenia              
TCP,D314y,Other specified secondary thrombocytopenia                                                                                                                                                                                                                     ,Secondary or other Thrombocytopaenia              
TCP,D314z,Secondary thrombocytopenia NOS                                                                                                                                                                                                                                 ,Secondary or other Thrombocytopaenia              
TCP,D315.,Thrombocytopenia NOS                                                                                                                                                                                                                                           ,Secondary or other Thrombocytopaenia              
TCP,Dyu32,[X]Other primary thrombocytopenia                                                                                                                                                                                                                              ,Primary or Idiopathic Thrombocytopaenia           
TCP,G7561,Thrombotic thrombocytopenic purpura                                                                                                                                                                                                                            ,Secondary or other Thrombocytopaenia              
