Phenotype,Read code,Description,Category
THROMBOPHILIA,42Qc.,Plasma activated protein C resistance                                                                                                                                                                                                                          ,Diagnosis of Thrombophilia                        
THROMBOPHILIA,42Qe.,Factor V Leiden genotype                                                                                                                                                                                                                                       ,Diagnosis of Thrombophilia                        
THROMBOPHILIA,42jH.,Activated protein C with factor V deficient plasma                                                                                                                                                                                                             ,Diagnosis of Thrombophilia                        
THROMBOPHILIA,43GE1,Lupus anticoagulant positive                                                                                                                                                                                                                                   ,Diagnosis of Thrombophilia                        
THROMBOPHILIA,D3037,Factor V Leiden mutation                                                                                                                                                                                                                                       ,Diagnosis of Thrombophilia                        
THROMBOPHILIA,D3038,Homozygous factor V Leiden mutation                                                                                                                                                                                                                            ,Diagnosis of Thrombophilia                        
THROMBOPHILIA,D3039,Heterozygous factor V Leiden mutation                                                                                                                                                                                                                          ,Diagnosis of Thrombophilia                        
THROMBOPHILIA,D309.,Protein S deficiency                                                                                                                                                                                                                                           ,Diagnosis of Thrombophilia                        
THROMBOPHILIA,D30A.,Thrombophilia                                                                                                                                                                                                                                                  ,Diagnosis of Thrombophilia                        
THROMBOPHILIA,D30A0,Primary thrombophilia                                                                                                                                                                                                                                          ,Diagnosis of Thrombophilia                        
THROMBOPHILIA,D30B.,Protein C deficiency                                                                                                                                                                                                                                           ,Diagnosis of Thrombophilia                        
THROMBOPHILIA,N006.,Antiphospholipid syndrome                                                                                                                                                                                                                                      ,Diagnosis of Thrombophilia                        
