Phenotype,Read code,Description,Category
UNSTABLE_ANGINA,662K3,Angina control - worsening                                                                                                                                                                                                                                     ,Unstable Angina                                   
UNSTABLE_ANGINA,G311.,Preinfarction syndrome                                                                                                                                                                                                                                         ,Unstable Angina                                   
UNSTABLE_ANGINA,G3111,Unstable angina                                                                                                                                                                                                                                                ,Unstable Angina                                   
UNSTABLE_ANGINA,G3112,Angina at rest                                                                                                                                                                                                                                                 ,Unstable Angina                                   
UNSTABLE_ANGINA,G3113,Refractory angina                                                                                                                                                                                                                                              ,Unstable Angina                                   
UNSTABLE_ANGINA,G3114,Worsening angina                                                                                                                                                                                                                                               ,Unstable Angina                                   
UNSTABLE_ANGINA,G3115,Acute coronary syndrome                                                                                                                                                                                                                                        ,Unstable Angina                                   
UNSTABLE_ANGINA,G311z,Preinfarction syndrome NOS                                                                                                                                                                                                                                     ,Unstable Angina                                   
UNSTABLE_ANGINA,G312.,Coronary thrombosis not resulting in myocardial infarction                                                                                                                                                                                                     ,Unstable Angina                                   
UNSTABLE_ANGINA,G31y0,Acute coronary insufficiency                                                                                                                                                                                                                                   ,Unstable Angina                                   
UNSTABLE_ANGINA,G33z0,Status anginosus                                                                                                                                                                                                                                               ,Unstable Angina                                   
UNSTABLE_ANGINA,662K3,Angina control - worsening                                                                                                                                                                                                                                     ,Unstable Angina                                             
UNSTABLE_ANGINA,G311.,Preinfarction syndrome                                                                                                                                                                                                                                         ,Unstable Angina                                             
UNSTABLE_ANGINA,G3111,Unstable angina                                                                                                                                                                                                                                                ,Unstable Angina                                             
UNSTABLE_ANGINA,G3112,Angina at rest                                                                                                                                                                                                                                                 ,Unstable Angina                                             
UNSTABLE_ANGINA,G3113,Refractory angina                                                                                                                                                                                                                                              ,Unstable Angina                                             
UNSTABLE_ANGINA,G3114,Worsening angina                                                                                                                                                                                                                                               ,Unstable Angina                                             
UNSTABLE_ANGINA,G3115,Acute coronary syndrome                                                                                                                                                                                                                                        ,Unstable Angina                                             
UNSTABLE_ANGINA,G311z,Preinfarction syndrome NOS                                                                                                                                                                                                                                     ,Unstable Angina                                             
UNSTABLE_ANGINA,G312.,Coronary thrombosis not resulting in myocardial infarction                                                                                                                                                                                                     ,Unstable Angina                                             
UNSTABLE_ANGINA,G31y0,Acute coronary insufficiency                                                                                                                                                                                                                                   ,Unstable Angina                                             
UNSTABLE_ANGINA,G33z0,Status anginosus                                                                                                                                                                                                                                               ,Unstable Angina                                             
