terminology,code,term,code_type
ICD10,O243,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified",
ICD10,O242,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus,
ICD10,E12,Malnutrition-related diabetes mellitus,
ICD10,E10,Insulin-dependent diabetes mellitus,
ICD10,E14,Unspecified diabetes mellitus,
ICD10,E11,Non-insulin-dependent diabetes mellitus,
ICD10,G632,Diabetic polyneuropathy,
ICD10,M142,Diabetic arthropathy,
ICD10,H280,Diabetic cataract,
ICD10,O241,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, non-insulin-dependent",
ICD10,O240,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent",
ICD10,N083,Glomerular disorders in diabetes mellitus,
ICD10,E13,Other specified diabetes mellitus,
ICD10,G590,Diabetic mononeuropathy,
ICD10,H360,Diabetic retinopathy,
