terminology,code,term,code_type
ICD10,T023,Fractures involving multiple regions of both lower limbs,
ICD10,T12,Fracture of lower limb,
ICD10,S823,Lower leg fracture,
ICD10,S825,Lower leg fracture,
ICD10,S827,Lower leg fracture,
ICD10,S923,Foot fracture,
ICD10,S920,Foot fracture,
ICD10,S822,Lower leg fracture,
ICD10,S720,Upper leg fracture,
ICD10,S729,Upper leg fracture,
ICD10,S727,Upper leg fracture,
ICD10,S821,Lower leg fracture,
ICD10,S829,Lower leg fracture,
ICD10,S824,Lower leg fracture,
ICD10,S922,Foot fracture,
ICD10,S921,Foot fracture,
ICD10,S927,Foot fracture,
ICD10,S728,Upper leg fracture,
ICD10,S929,Foot fracture,
ICD10,T025,Fractures involving multiple regions of both lower limbs,
ICD10,S828,Lower leg fracture,
ICD10,S724,Upper leg fracture,
ICD10,S721,Upper leg fracture,
ICD10,S723,Upper leg fracture,
ICD10,S826,Lower leg fracture,
ICD10,S820,Lower leg fracture,
