terminology,code,term,code_type
SNOMEDCT,Open operations on oesophageal varices,173617001,
SNOMEDCT,Local ligation of oesophageal varices,67364009,
SNOMEDCT,Open injection sclerotherapy to oesophageal varices,173621008,
SNOMEDCT,Open operation on oesophageal varices NOS,173617001,
SNOMEDCT,Fibreoptic oesophagoscopy & injection sclerotherapy varices,173639004,
SNOMEDCT,Fibreoptic oesophagoscopy & injection sclerotherapy varices,173639004,
SNOMEDCT,Fibreoptic oesophagoscopy and banding of oesophageal varices,173641003,
SNOMEDCT,Fibreoptic oesophagoscopy and banding of oesophageal varices,173641003,
SNOMEDCT,Rigid oesophagoscopy and injection sclerotherapy of varices,173660005,
SNOMEDCT,Rigid oesophagoscopy and injection sclerotherapy of varices,173660005,
SNOMEDCT,Rigid oesophagoscopy and banding of oesophageal varices,173661009,
SNOMEDCT,Rigid oesophagoscopy and banding of oesophageal varices,173661009,
SNOMEDCT,Balloon tamponade of oesophagus,173679008,
SNOMEDCT,Balloon tamponade of oesophagus,173679008,
SNOMEDCT,Liver transplant,18027006,
SNOMEDCT,Liver transplant,18027006,
SNOMEDCT,Liver transplant,18027006,
SNOMEDCT,Liver transplant,18027006,
SNOMEDCT,Liver transplant,18027006,
SNOMEDCT,Liver transplant,18027006,
SNOMEDCT,Liver transplant,18027006,
SNOMEDCT,Orthotopic liver transplant,174425003,
SNOMEDCT,Heterotopic liver transplant,174426002,
SNOMEDCT,Heterotopic liver transplant,174426002,
SNOMEDCT,Heterotopic liver transplant,174426002,
SNOMEDCT,Heterotopic liver transplant,174426002,
SNOMEDCT,Heterotopic liver transplant,174426002,
SNOMEDCT,Heterotopic liver transplant,174426002,
SNOMEDCT,Replacement of previous liver transplant,174427006,
SNOMEDCT,Other specified transplantation of liver,18027006,
SNOMEDCT,Transplantation of liver NOS,18027006,
SNOMEDCT,Exploration liver (& transplanted),235458006,
SNOMEDCT,Exploration liver (& transplanted),265437009,
SNOMEDCT,Viral hepatitis C with coma,186628001,
SNOMEDCT,Chronic viral hepatitis B without delta-agent,186639003,
SNOMEDCT,[X]Other chronic viral hepatitis,419531000000100,
SNOMEDCT,[X]Other chronic viral hepatitis,419531000000100,
SNOMEDCT,[X]Other chronic viral hepatitis,10295004,
SNOMEDCT,[X]Other chronic viral hepatitis,3738000,
SNOMEDCT,[X]Other chronic viral hepatitis,3738000,
SNOMEDCT,"[X]Chronic viral hepatitis, unspecified",419541000000109,
SNOMEDCT,"[X]Chronic viral hepatitis, unspecified",419541000000109,
SNOMEDCT,"[X]Chronic viral hepatitis, unspecified",10295004,
SNOMEDCT,[X]Unspecified viral hepatitis with coma,444071000000104,
SNOMEDCT,[X]Unspecified viral hepatitis with coma,444071000000104,
SNOMEDCT,[X]Unspecified viral hepatitis with coma,40946000,
