terminology,code,term,code_type
SNOMEDCT,199007008,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium (disorder)",
SNOMEDCT,48552006,Hypertension secondary to renal disease complicating AND/OR reason for care during pregnancy (disorder),
SNOMEDCT,1474004,Hypertensive heart AND renal disease complicating AND/OR reason for care during childbirth (disorder),
SNOMEDCT,198953006,"Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered (disorder)",
SNOMEDCT,23717007,Benign essential hypertension complicating AND/OR reason for care during pregnancy (disorder),
SNOMEDCT,721166000,Human immunodeficiency virus complicating pregnancy childbirth and the puerperium (disorder),
SNOMEDCT,10757441000119102,Pre-existing hypertensive heart disease in mother complicating childbirth (disorder),
SNOMEDCT,34694006,Pre-existing hypertension complicating AND/OR reason for care during childbirth (disorder),
SNOMEDCT,956971000000108,Pertussis vaccination in pregnancy given by other healthcare provider (finding),
SNOMEDCT,91923005,Acquired immunodeficiency syndrome virus infection associated with pregnancy (disorder),
SNOMEDCT,1109951000000101,Pregnancy insufficiently advanced for reliable antenatal screening (finding),
SNOMEDCT,10752641000119102,Eclampsia with pre-existing hypertension in childbirth (disorder),
SNOMEDCT,1109971000000105,Pregnancy too advanced for reliable antenatal screening (finding),
SNOMEDCT,40801000119106,Gestational diabetes mellitus complicating pregnancy (disorder),
SNOMEDCT,609564002,Pre-existing type 1 diabetes mellitus in pregnancy (disorder),
SNOMEDCT,169488004,Contraceptive intrauterine device failure - pregnant (finding),
SNOMEDCT,199227004,Diabetes mellitus during pregnancy - baby not yet delivered (disorder),
SNOMEDCT,134781000119106,High risk pregnancy due to recurrent miscarriage (finding),
SNOMEDCT,10753491000119101,Gestational diabetes mellitus in childbirth (disorder),
SNOMEDCT,10742121000119104,Asthma in mother complicating childbirth (disorder),
SNOMEDCT,459171002,Monochorionic monoamniotic twin pregnancy (disorder),
SNOMEDCT,459168005,Monochorionic diamniotic twin pregnancy (disorder),
SNOMEDCT,237227006,Congenital heart disease in pregnancy (disorder),
SNOMEDCT,169564004,Pregnant - on abdominal palpation (finding),
SNOMEDCT,449368009,Stopped smoking during pregnancy (finding),
SNOMEDCT,171057006,Pregnancy alcohol education (procedure),
SNOMEDCT,80997009,Quintuplet pregnancy (disorder),
SNOMEDCT,64254006,Triplet pregnancy (disorder),
SNOMEDCT,449369001,Stopped smoking before pregnancy (finding),
SNOMEDCT,169561007,Pregnant - blood test confirms (finding),
SNOMEDCT,237238006,Pregnancy with uncertain dates (finding),
SNOMEDCT,459167000,Monochorionic twin pregnancy (disorder),
SNOMEDCT,428165003,Hypothyroidism in pregnancy (disorder),
SNOMEDCT,169560008,Pregnant - urine test confirms (finding),
SNOMEDCT,439311009,Intends to continue pregnancy (finding),
SNOMEDCT,171055003,Pregnancy smoking education (procedure),
SNOMEDCT,171054004,Pregnancy diet education (procedure),
SNOMEDCT,169501005,"Pregnant, diaphragm failure (finding)",
SNOMEDCT,713576003,Monozygotic twin pregnancy (disorder),
SNOMEDCT,72301000119103,Asthma in pregnancy (disorder),
SNOMEDCT,314204000,Early stage of pregnancy (finding),
SNOMEDCT,169508004,"Pregnant, sheath failure (finding)",
SNOMEDCT,169565003,Pregnant - planned (finding),
SNOMEDCT,526961000000105,Pregnancy advice for patients with epilepsy (procedure),
SNOMEDCT,866641000000105,Pertussis vaccination in pregnancy declined (situation),
SNOMEDCT,169562000,Pregnant - vaginal examination confirms (finding),
SNOMEDCT,459166009,Dichorionic diamniotic twin pregnancy (disorder),
SNOMEDCT,10231000132102,In-vitro fertilization pregnancy (finding),
SNOMEDCT,60810003,Quadruplet pregnancy (disorder),
SNOMEDCT,276367008,Wanted pregnancy (finding),
SNOMEDCT,65147003,Twin pregnancy (disorder),
SNOMEDCT,77386006,Pregnant (finding),
SNOMEDCT,198947006,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication (disorder)",
SNOMEDCT,198954000,"Renal hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication (disorder)",
SNOMEDCT,198944004,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered (disorder)",
SNOMEDCT,199006004,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium (disorder)",
SNOMEDCT,118781000119108,Pre-existing hypertensive chronic kidney disease in mother complicating pregnancy (disorder),
SNOMEDCT,10562009,Malignant hypertension complicating AND/OR reason for care during childbirth (disorder),
SNOMEDCT,78808002,Essential hypertension complicating AND/OR reason for care during pregnancy (disorder),
SNOMEDCT,8218002,Chronic hypertension complicating AND/OR reason for care during childbirth (disorder),
SNOMEDCT,198949009,"Renal hypertension complicating pregnancy, childbirth and the puerperium (disorder)",
SNOMEDCT,10755671000119100,Human immunodeficiency virus in mother complicating childbirth (disorder),
SNOMEDCT,10745291000119103,Malignant neoplastic disease in mother complicating childbirth (disorder),
SNOMEDCT,106281000119103,Pre-existing diabetes mellitus in mother complicating childbirth (disorder),
SNOMEDCT,10746341000119109,Acquired immune deficiency syndrome complicating childbirth (disorder),
SNOMEDCT,10759351000119103,Sickle cell anemia in mother complicating childbirth (disorder),
SNOMEDCT,527131000000100,Pregnancy advice for patients with epilepsy declined (situation),
SNOMEDCT,444661007,High risk pregnancy due to history of preterm labor (finding),
SNOMEDCT,198946002,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered (disorder)",
SNOMEDCT,22966008,Hypertensive heart AND renal disease complicating AND/OR reason for care during pregnancy (disorder),
SNOMEDCT,198951008,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered (disorder)",
SNOMEDCT,199008003,"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium (disorder)",
SNOMEDCT,198942000,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium (disorder)",
SNOMEDCT,71874008,Benign essential hypertension complicating AND/OR reason for care during childbirth (disorder),
SNOMEDCT,20753005,Hypertensive heart disease complicating AND/OR reason for care during pregnancy (disorder),
SNOMEDCT,88144003,Removal of ectopic interstitial uterine pregnancy requiring total hysterectomy (procedure),
SNOMEDCT,65402008,Pre-existing hypertension complicating AND/OR reason for care during pregnancy (disorder),
SNOMEDCT,18416000,Essential hypertension complicating AND/OR reason for care during childbirth (disorder),
SNOMEDCT,199005000,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium (disorder)",
SNOMEDCT,199223000,"Diabetes mellitus during pregnancy, childbirth and the puerperium (disorder)",
SNOMEDCT,10754881000119104,Diabetes mellitus in mother complicating childbirth (disorder),
SNOMEDCT,199225007,Diabetes mellitus during pregnancy - baby delivered (disorder),
SNOMEDCT,609567009,Pre-existing type 2 diabetes mellitus in pregnancy (disorder),
SNOMEDCT,10749871000119100,Malignant neoplastic disease in pregnancy (disorder),
SNOMEDCT,609563008,Pre-existing diabetes mellitus in pregnancy (disorder),
SNOMEDCT,956951000000104,Pertussis vaccination in pregnancy (procedure),
SNOMEDCT,449345000,Smoked before confirmation of pregnancy (finding),
SNOMEDCT,240154002,Idiopathic osteoporosis in pregnancy (disorder),
SNOMEDCT,10809101000119109,Hypothyroidism in childbirth (disorder),
SNOMEDCT,413567003,Aplastic anemia associated with pregnancy (disorder),
SNOMEDCT,609566000,Pregnancy and type 1 diabetes mellitus (disorder),
SNOMEDCT,237627000,Pregnancy and type 2 diabetes mellitus (disorder),
SNOMEDCT,169566002,Pregnant - unplanned - wanted (finding),
SNOMEDCT,713575004,Dizygotic twin pregnancy (disorder),
SNOMEDCT,169563005,Pregnant - on history (finding),
SNOMEDCT,237239003,Low risk pregnancy (finding),
SNOMEDCT,198945003,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication (disorder)",
SNOMEDCT,198952001,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication (disorder)",
SNOMEDCT,10757401000119104,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth (disorder),
SNOMEDCT,10757481000119107,Pre-existing hypertensive heart and chronic kidney disease in mother complicating pregnancy (disorder),
SNOMEDCT,26078007,Hypertension secondary to renal disease complicating AND/OR reason for care during childbirth (disorder),
SNOMEDCT,59733002,Hypertensive heart disease complicating AND/OR reason for care during childbirth (disorder),
SNOMEDCT,76751001,"Diabetes mellitus in mother complicating pregnancy, childbirth AND/OR puerperium (disorder)",
SNOMEDCT,10759031000119106,Pre-existing hypertensive heart disease in mother complicating pregnancy (disorder),
SNOMEDCT,29259002,Malignant hypertension complicating AND/OR reason for care during pregnancy (disorder),
SNOMEDCT,37618003,Chronic hypertension complicating AND/OR reason for care during pregnancy (disorder),
SNOMEDCT,527041000000108,Pregnancy advice for patients with epilepsy not indicated (situation),
SNOMEDCT,91948008,Asymptomatic human immunodeficiency virus infection in pregnancy (disorder),
SNOMEDCT,47200007,High risk pregnancy (finding),
SNOMEDCT,16356006,Multiple pregnancy (disorder),
