terminology,code,term,code_type
SNOMEDCT,442760001,Thrombophilia caused by antineoplastic agent therapy,1
SNOMEDCT,441697004,Thrombophilia associated with pregnancy,1
SNOMEDCT,442078001,Thrombophilia due to malignant neoplasm,1
SNOMEDCT,442121006,Thrombophilia due to vascular anomaly,1
SNOMEDCT,441762006,Thrombophilia due to immobilisation,1
SNOMEDCT,439002002,Thrombophilia due to acquired protein C deficiency,1
SNOMEDCT,441946009,Thrombophilia due to myeloproliferative disorder,1
SNOMEDCT,441079006,Thrombophilia due to antiphospholipid antibody,1
SNOMEDCT,439001009,Acquired thrombophilia,1
SNOMEDCT,439698008,Primary thrombophilia,1
SNOMEDCT,439698008,Hereditary thrombophilia,1
SNOMEDCT,441882000,History of thrombophilia,1
SNOMEDCT,234467004,Thrombophilia,1
SNOMEDCT,439126002,Thrombophilia due to acquired antithrombin III deficiency,1
SNOMEDCT,439125003,Thrombophilia due to acquired protein S deficiency,1
SNOMEDCT,441990004,Thrombophilia due to paroxysmal nocturnal haemoglobinuria,1
SNOMEDCT,442363001,Thrombophilia caused by vascular device,1
SNOMEDCT,442654007,Thrombophilia caused by hormone therapy,1
SNOMEDCT,442197003,Thrombophilia caused by drug therapy,1
SNOMEDCT,441945008,Thrombophilia due to trauma,1
SNOMEDCT,783250007,Hereditary thrombophilia due to congenital histidine-rich (poly-L) glycoprotein deficiency,1
