terminology,code,term
BNF,0206020R0AAAEAE,Nifedipine 10mg modified-release tablets
BNF,0206020T0BDAEAH,Securon SR 240mg tablets
BNF,0205052N0BBACAD,Cozaar 100mg tablets
BNF,0206020T0BFAAAI,Univer 120mg modified-release capsules
BNF,0202010D0AAAUAU,Chlorothiazide 250mg/5ml oral suspension
BNF,0206020R0BKADAE,Kentipine MR 10 tablets
BNF,0202030S0AACRCR,Spironolactone 100mg/5ml oral solution
BNF,0206020A0AAAFAF,Amlodipine 50mg/5ml oral liquid
BNF,0206020R0CEABAR,Nifopress MR 20mg tablets
BNF,0206020F0BKABAC,Cardioplen XL 10mg tablets
BNF,0205052X0AAAAAA,Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets
BNF,0206020R0CJAAAN,Nidef 30mg modified-release tablets
BNF,0205040D0AAAIAI,Doxazosin 2mg/5ml oral liquid
BNF,0205010J0AAA3A3,Hydralazine 10mg/5ml oral solution
BNF,0204000H0BFADAA,Cardicor 5mg tablets
BNF,0206020F0BGABAC,Folpik XL 10mg tablets
BNF,0205051F0AABTBT,Captopril 12.5mg/5ml oral liquid
BNF,0204000H0BKABAJ,Congescor 2.5mg tablets (Tillomed)
BNF,0205051F0AACTCT,Captopril 5mg/ml oral solution sugar free
BNF,0205040D0BDACAC,Doxadura 4mg tablets
BNF,0205052W0BBAAAA,Teveten 300mg tablets
BNF,0205052N0BBAEAI,Cozaar 2.5mg/ml oral suspension
BNF,0205052B0AAADAD,Olmesartan medoxomil 10mg/5ml oral liquid
BNF,0202010D0AADFDF,Chlorothiazide 300mg capsules
BNF,0205052N0AAAHAH,Losartan 12.5mg tablets
BNF,0204000K0AAACAC,Metoprolol 100mg tablets
BNF,0206020Q0BBAAAA,Cardene 20mg capsules
BNF,0205020E0BBADAB,Catapres 150micrograms/1ml solution for injection ampoules
BNF,0205051M0BBACAF,Coversyl 8mg tablets
BNF,0206020R0BTAAAS,Nifedipin-ratiopharm 20mg/ml oral drops
BNF,0206020C0BNAEBA,Viazem XL 360mg capsules
BNF,0206020R0AAABAB,Nifedipine 10mg capsules
BNF,0204000T0BCAAAC,Sotacor 80mg tablets
BNF,0204000K0BDAAAB,Lopresor 50mg tablets
BNF,0205051AAAAABAB,Perindopril tosilate 5mg tablets
BNF,0206020C0BJAAAT,Angitil SR 90 capsules
BNF,020400040BBAAAA,Tenoret 50mg/12.5mg tablets
BNF,0205052I0BEAAAA,Ifirmasta 75mg tablets
