terminology,code,term,code_type
SNOMEDCT,109264009,Overlapping malignant neoplasm of skin,1.0
SNOMEDCT,109267002,Overlapping malignant melanoma of skin,1.0
SNOMEDCT,109347009,Overlapping malignant neoplasm of bone and articular cartilage,1.0
SNOMEDCT,109358000,Overlapping malignant neoplasm of ill-defined site,1.0
SNOMEDCT,109367000,Overlapping malignant neoplasm of nasopharynx,1.0
SNOMEDCT,109369002,Overlapping malignant neoplasm of larynx,1.0
SNOMEDCT,109371002,Overlapping malignant neoplasm of bronchus and lung,1.0
SNOMEDCT,109378008,Mesothelioma (malignant)(clinical),1.0
SNOMEDCT,109383000,Mesothelioma of pericardium,1.0
SNOMEDCT,109384006,"Overlapping malignant neoplasm of heart, mediastinum and pleura",1.0
SNOMEDCT,109385007,Kaposi's sarcoma (clinical),1.0
SNOMEDCT,109388009,Kaposi's sarcoma of palate,1.0
SNOMEDCT,109391009,Kaposi's sarcoma of lymph nodes,1.0
SNOMEDCT,109392002,Kaposi's sarcoma of multiple organs,1.0
SNOMEDCT,109823006,Overlapping malignant neoplasm of tongue,1.0
SNOMEDCT,109830000,Overlapping malignant neoplasm of floor of mouth,1.0
SNOMEDCT,109835005,Overlapping malignant neoplasm of esophagus,1.0
SNOMEDCT,109836006,Overlapping malignant neoplasm of stomach,1.0
SNOMEDCT,109837002,Overlapping malignant neoplasm of small intestine,1.0
SNOMEDCT,109841003,Liver cell carcinoma (clinical),1.0
SNOMEDCT,109843000,Hepatoblastoma (clinical),1.0
SNOMEDCT,109844006,Angiosarcoma of liver,1.0
SNOMEDCT,109847004,Overlapping malignant neoplasm of biliary tract,1.0
SNOMEDCT,109848009,Overlapping malignant neoplasm of pancreas,1.0
SNOMEDCT,109853004,Mesothelioma of peritoneum,1.0
SNOMEDCT,109874003,Overlapping malignant neoplasm of male genital organs,1.0
SNOMEDCT,109875002,Overlapping malignant neoplasm of penis,1.0
SNOMEDCT,109876001,Malignant neoplasm of descended testis,1.0
SNOMEDCT,109878000,Overlapping malignant neoplasm of female genital organs,1.0
SNOMEDCT,109885001,Overlapping malignant neoplasm of vulva,1.0
SNOMEDCT,1098961000119105,History of cancer metastatic to lung,0.0
SNOMEDCT,109911004,Overlapping malignant neoplasm of brain and other parts of the central nervous system,1.0
SNOMEDCT,109912006,Overlapping malignant neoplasm of brain,1.0
SNOMEDCT,109919002,Overlapping malignant neoplasm of peripheral nerves and autonomic nervous system,1.0
SNOMEDCT,109948008,Overlapping malignant neoplasm of eye and adnexa (primary),1.0
SNOMEDCT,109962001,Diffuse non-Hodgkin's lymphoma,1.0
SNOMEDCT,109965004,"Diffuse non-Hodgkin's lymphoma, lymphoblastic (clinical)",1.0
SNOMEDCT,109966003,"Diffuse non-Hodgkin's lymphoma, immunoblastic (clinical)",1.0
SNOMEDCT,109969005,"Diffuse non-Hodgkin's lymphoma, large cell (clinical)",1.0
SNOMEDCT,109975001,T-zone lymphoma (clinical),1.0
SNOMEDCT,109976000,Lymphoepithelioid lymphoma (clinical),1.0
SNOMEDCT,109977009,Peripheral T-cell lymphoma (clinical),1.0
SNOMEDCT,109978004,T-cell lymphoma (clinical),1.0
SNOMEDCT,109979007,B-cell lymphoma (clinical),1.0
SNOMEDCT,109980005,Malignant immunoproliferative disease (clinical),1.0
SNOMEDCT,109988003,True histiocytic lymphoma (clinical),1.0
SNOMEDCT,109989006,Multiple myeloma (clinical),1.0
SNOMEDCT,109991003,Acute myelofibrosis (clinical),1.0
SNOMEDCT,109992005,Vaquez's disease,1.0
SNOMEDCT,110002002,Mast cell leukemia (clinical),1.0
SNOMEDCT,110004001,Acute promyelocytic leukaemia (clinical),1.0
SNOMEDCT,110005000,Acute myelomonocytic leukaemia (clinical),1.0
SNOMEDCT,110006004,Prolymphocytic leukemia (clinical),1.0
SNOMEDCT,110013004,Overlapping malignant neoplasm of tonsil,1.0
SNOMEDCT,118599009,Hodgkin's disease (clinical),1.0
SNOMEDCT,118600007,Lymphoma (clinical),1.0
SNOMEDCT,118601006,Non-Hodgkin's lymphoma (clinical),1.0
SNOMEDCT,118602004,Hodgkin's granuloma (clinical),1.0
SNOMEDCT,118605002,Hodgkin's paragranuloma (clinical),1.0
SNOMEDCT,118606001,Hodgkin's sarcoma (clinical),1.0
SNOMEDCT,118607005,"Hodgkin's disease, lymphocytic-histiocytic predominance (clinical)",1.0
SNOMEDCT,118608000,"Hodgkin's disease, nodular sclerosis (clinical)",1.0
SNOMEDCT,118609008,"Hodgkin's disease, mixed cellularity (clinical)",1.0
SNOMEDCT,118610003,"Hodgkin's disease, lymphocytic depletion (clinical)",1.0
SNOMEDCT,118611004,Sézary's disease (clinical),1.0
SNOMEDCT,118612006,Malignant histiocytosis (clinical),1.0
SNOMEDCT,118613001,Leukemic reticuloendotheliosis (clinical) [obs],1.0
SNOMEDCT,118614007,Letterer-Siwe disease (clinical),1.0
SNOMEDCT,118615008,Malignant mast cell tumor (clinical),1.0
SNOMEDCT,118617000,Burkitt's lymphoma (clinical),1.0
SNOMEDCT,118618005,Mycosis fungoides (clinical),1.0
SNOMEDCT,127225006,Chronic myelomonocytic leukemia,1.0
SNOMEDCT,128462008,Metastatic neoplasm (disease),1.0
SNOMEDCT,134421000,Pathological fracture due to metastatic bone disease,1.0
SNOMEDCT,161436008,H/O: * leukemia,0.0
SNOMEDCT,187601000,"Malignant neoplasm of upper lip, lipstick area",1.0
SNOMEDCT,187604008,"Malignant neoplasm of lower lip, external",1.0
SNOMEDCT,187606005,Malignant tumour of oral aspect of upper lip,1.0
SNOMEDCT,187613005,"Malignant neoplasm of lower lip, buccal aspect",1.0
SNOMEDCT,187614004,Malignant tumor of frenum of lower lip,1.0
SNOMEDCT,187622006,Malignant tumor of labial mucosa,1.0
SNOMEDCT,187624007,Malignant neoplasm of overlapping lesion of lip,1.0
SNOMEDCT,187631006,Malignant neoplasm of base of tongue dorsal surface,1.0
SNOMEDCT,187633009,Malignant neoplasm of dorsal surface of tongue,1.0
SNOMEDCT,187637005,"Malignant neoplasm of tongue, tip and lateral border",1.0
SNOMEDCT,187640005,Malignant neoplasm of anterior 2/3 of tongue ventral surface,1.0
SNOMEDCT,187641009,Malignant tumor of frenum linguae,1.0
SNOMEDCT,187644001,Malignant tumour of junctional zone of tongue,1.0
SNOMEDCT,187652003,Malignant tumour of anterior floor of mouth,1.0
SNOMEDCT,187653008,Malignant neoplasm of lateral portion of floor of mouth,1.0
SNOMEDCT,187658004,Malignant tumour of vestibule of mouth,1.0
SNOMEDCT,187659007,Malignant neoplasm of upper buccal sulcus,1.0
SNOMEDCT,187660002,Malignant tumor of lower buccal sulcus,1.0
SNOMEDCT,187666008,Malignant neoplasm of junction of hard and soft palate,1.0
SNOMEDCT,187675005,Malignant tumour of palatopharyngeal arch,1.0
SNOMEDCT,187681002,Malignant neoplasm of anterior epiglottis,1.0
SNOMEDCT,187682009,"Malignant neoplasm of epiglottis, free border",1.0
SNOMEDCT,187683004,Malignant neoplasm of glossoepiglottic fold,1.0
SNOMEDCT,187685006,Malignant neoplasm of junctional region of epiglottis,1.0
SNOMEDCT,187688008,Malignant tumour of posterior wall of oropharynx,1.0
SNOMEDCT,187692001,Malignant tumor of epipharynx,1.0
SNOMEDCT,187693006,Malignant tumour of posterior wall of nasopharynx,1.0
SNOMEDCT,187694000,Malignant tumor of adenoid,1.0
SNOMEDCT,187697007,Malignant tumour of fossa of Rosenmuller,1.0
SNOMEDCT,187700006,Malignant tumor of anterior wall of nasopharynx,1.0
SNOMEDCT,187708004,Malignant tumor aryepiglottic fold - hypopharyngeal aspect,1.0
SNOMEDCT,187709007,Malignant neoplasm of posterior pharynx,1.0
SNOMEDCT,187716008,Malignant tumour of Waldeyer's ring,1.0
SNOMEDCT,187722004,Malignant tumour of cervical part of oesophagus,1.0
SNOMEDCT,187723009,Malignant neoplasm of thoracic esophagus,1.0
SNOMEDCT,187724003,Malignant tumour of abdominal part of oesophagus,1.0
SNOMEDCT,187725002,Malignant neoplasm of upper third of esophagus,1.0
SNOMEDCT,187726001,Malignant tumor of middle third of esophagus,1.0
SNOMEDCT,187727005,Malignant neoplasm of lower third of oesophagus,1.0
SNOMEDCT,187732006,Malignant neoplasm of cardia of stomach,1.0
SNOMEDCT,187733001,Malignant neoplasm of cardiac orifice of stomach,1.0
SNOMEDCT,187734007,Malignant neoplasm of cardio-esophageal junction of stomach,1.0
SNOMEDCT,187736009,Malignant tumor of pylorus,1.0
SNOMEDCT,187738005,Malignant neoplasm of pyloric canal of stomach,1.0
SNOMEDCT,187740000,Malignant tumor of pyloric antrum,1.0
SNOMEDCT,187741001,Malignant tumour of fundus of stomach,1.0
SNOMEDCT,187742008,Malignant tumor of body of stomach,1.0
SNOMEDCT,187752007,Malignant tumor of Meckel's diverticulum,1.0
SNOMEDCT,187757001,"Malignant neoplasm, overlapping lesion of colon",1.0
SNOMEDCT,187760008,"Malignant neoplasm of rectum, rectosigmoid junction and anus",1.0
SNOMEDCT,187767006,Malignant neoplasm of liver and intrahepatic bile ducts,1.0
SNOMEDCT,187769009,Primary carcinoma of liver,1.0
SNOMEDCT,187773007,Malignant neoplasm of interlobular bile ducts,1.0
SNOMEDCT,187777008,Malignant neoplasm of intrahepatic gall duct,1.0
SNOMEDCT,187784000,Malignant neoplasm of hepatic duct,1.0
SNOMEDCT,187791002,Malignant tumor of body of pancreas,1.0
SNOMEDCT,187792009,Malignant tumour of tail of pancreas,1.0
SNOMEDCT,187793004,Malignant tumor of pancreatic duct,1.0
SNOMEDCT,187794005,Malignant tumour of Islets of Langerhans,1.0
SNOMEDCT,187798008,Malignant neoplasm of ectopic pancreatic tissue,1.0
SNOMEDCT,187801002,Malignant tumour of peritoneum and retroperitoneum,1.0
SNOMEDCT,187803004,Malignant neoplasm of perinephric tissue,1.0
SNOMEDCT,187804005,Malignant neoplasm of retrocaecal tissue,1.0
SNOMEDCT,187807003,Overlapping malignant lesion of retroperitoneum and peritoneum,1.0
SNOMEDCT,187808008,Malignant neoplasm of specified parts of peritoneum,1.0
SNOMEDCT,187811009,Malignant neoplasm of mesorectum,1.0
SNOMEDCT,187814001,Malignant neoplasm of the pouch of Douglas,1.0
SNOMEDCT,187822008,Fibrosarcoma of spleen,1.0
SNOMEDCT,187824009,"Malignant neoplasm, overlapping lesion of digestive system",1.0
SNOMEDCT,187828007,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses",1.0
SNOMEDCT,187829004,Malignant neoplasm of cartilage of nose,1.0
SNOMEDCT,187830009,Malignant neoplasm of nasal conchae,1.0
SNOMEDCT,187831008,Malignant tumour of nasal vestibule,1.0
SNOMEDCT,187833006,"Malignant neoplasm of auditory tube, middle ear and mastoid air cells",1.0
SNOMEDCT,187835004,Malignant tumour of tympanic cavity,1.0
SNOMEDCT,187836003,Malignant tumor of tympanic antrum,1.0
SNOMEDCT,187838002,"Malignant neoplasm, overlapping lesion of accessory sinuses",1.0
SNOMEDCT,187841006,Malignant tumor of glottis,1.0
SNOMEDCT,187842004,Malignant tumour of supraglottis,1.0
SNOMEDCT,187843009,Malignant neoplasm of arytenoid cartilage,1.0
SNOMEDCT,187844003,Malignant neoplasm of cricoid cartilage,1.0
SNOMEDCT,187846001,Malignant neoplasm of thyroid cartilage,1.0
SNOMEDCT,187854004,Malignant neoplasm of mucosa of trachea,1.0
SNOMEDCT,187857006,Malignant neoplasm of carina of bronchus,1.0
SNOMEDCT,187861000,Malignant neoplasm of upper lobe bronchus,1.0
SNOMEDCT,187862007,Malignant neoplasm of upper lobe of lung,1.0
SNOMEDCT,187864008,"Malignant neoplasm of middle lobe, bronchus or lung",1.0
SNOMEDCT,187865009,Malignant neoplasm of middle lobe bronchus,1.0
SNOMEDCT,187866005,Malignant neoplasm of middle lobe of lung,1.0
SNOMEDCT,187868006,"Malignant neoplasm of lower lobe, bronchus or lung",1.0
SNOMEDCT,187869003,Malignant neoplasm of lower lobe bronchus,1.0
SNOMEDCT,187870002,Malignant neoplasm of lower lobe of lung,1.0
SNOMEDCT,187881004,"Malignant neoplasm of thymus, heart and mediastinum",1.0
SNOMEDCT,187900002,Malignant neoplasm of bones of skull and face,1.0
SNOMEDCT,187903000,Malignant neoplasm of malar bone,1.0
SNOMEDCT,187906008,Malignant neoplasm of orbital bone,1.0
SNOMEDCT,187916000,Malignant neoplasm of cervical vertebra,1.0
SNOMEDCT,187917009,Malignant neoplasm of thoracic vertebra,1.0
SNOMEDCT,187918004,Malignant neoplasm of lumbar vertebra,1.0
SNOMEDCT,187920001,"Malignant neoplasm of ribs, sternum and clavicle",1.0
SNOMEDCT,187925006,Malignant neoplasm of costal cartilage,1.0
SNOMEDCT,187926007,Malignant neoplasm of costovertebral joint,1.0
SNOMEDCT,187927003,Malignant neoplasm of xiphoid process,1.0
