terminology,code,term,code_type
DMD,319283006,Product containing precisely amlodipine besilate 5 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,319284000,Product containing precisely amlodipine besilate 10 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318906001,Product containing precisely ramipril 10 milligram/1 each conventional release oral capsule (clinical drug),1.0
DMD,318605000,Product containing precisely bisoprolol fumarate 2.5 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,317919004,Product containing precisely bendroflumethiazide 2.5 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318902004,Product containing precisely ramipril 5 milligram/1 each conventional release oral capsule (clinical drug),1.0
DMD,317972000,Product containing precisely furosemide 40 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318901006,Product containing precisely ramipril 2.5 milligram/1 each conventional release oral capsule (clinical drug),1.0
DMD,318604001,Product containing precisely bisoprolol fumarate 1.25 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318590006,Product containing precisely bisoprolol fumarate 5 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,317971007,Product containing precisely furosemide 20 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,407784004,Product containing precisely losartan potassium 100 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318956006,Product containing precisely losartan potassium 50 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,317956008,Product containing precisely indapamide 2.5 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318420003,Product containing precisely atenolol 50 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318783003,Product containing precisely doxazosin (as doxazosin mesylate) 4 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318860005,Product containing precisely lisinopril 20 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318900007,Product containing precisely ramipril 1.25 milligram/1 each conventional release oral capsule (clinical drug),1.0
DMD,318859000,Product containing precisely lisinopril 10 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318353009,Product containing precisely propranolol hydrochloride 40 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318591005,Product containing precisely bisoprolol fumarate 10 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318056008,Product containing precisely spironolactone 25 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318979007,Product containing precisely candesartan cilexetil 8 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318434003,Product containing precisely atenolol 25 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318955005,Product containing precisely losartan potassium 25 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318782008,Product containing precisely doxazosin (as doxazosin mesylate) 2 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318858008,Product containing precisely lisinopril 5 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318980005,Product containing precisely candesartan cilexetil 16 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318978004,Product containing precisely candesartan cilexetil 4 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,374667004,Product containing precisely perindopril erbumine 8 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318897000,Product containing precisely perindopril erbumine 4 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318352004,Product containing precisely propranolol hydrochloride 10 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318021009,Product containing precisely bumetanide 1 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,319316005,Product containing precisely lercanidipine hydrochloride 10 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,317954006,Indapamide 1.5mg m/r tablet (product),1.0
DMD,319287007,Felodipine 5mg m/r tablet (product),1.0
DMD,10225911000001102,Lercanidipine 20mg tablets (product),1.0
DMD,318407001,Propranolol hydrochloride 80mg m/r capsule (product),1.0
DMD,318896009,Product containing precisely perindopril erbumine 2 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,319288002,Felodipine 10mg m/r tablet (product),1.0
DMD,319291002,Felodipine 2.5mg m/r tablet (product),1.0
DMD,318857003,Product containing precisely lisinopril 2.5 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318606004,Product containing precisely bisoprolol fumarate 3.75 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318781001,Product containing precisely doxazosin (as doxazosin mesylate) 1 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,376998003,Product containing precisely candesartan cilexetil 32 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318421004,Product containing precisely atenolol 100 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318607008,Product containing precisely bisoprolol fumarate 7.5 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,407011007,Product containing precisely eplerenone 25 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,318970006,Product containing precisely irbesartan 300 milligram/1 each conventional release oral tablet (clinical drug),1.0
DMD,408050008,Product containing precisely ramipril 2.5 milligram/1 each conventional release oral tablet (clinical drug),1.0
