terminology,code,term,code_type
CTV3,7609.,Open operations on oesophageal varices,1.0
CTV3,76093,Local ligation of oesophageal varices,1.0
CTV3,76094,Open injection sclerotherapy to oesophageal varices,1.0
CTV3,7609y,Oesophageal varices operation: [OS open] or [Tanner],1.0
CTV3,7609z,Open operation on oesophageal varices NOS,1.0
CTV3,760C3,Fibreoptic oesophagoscopy & injection sclerotherapy varices,1.0
CTV3,760C5,Fibreoptic oesophagoscopy and banding of oesophageal varices,1.0
CTV3,760F3,Rigid oesophagoscopy and injection sclerotherapy of varices,1.0
CTV3,760F4,Rigid oesophagoscopy and banding of oesophageal varices,1.0
CTV3,760J4,Balloon tamponade of oesophagus,1.0
CTV3,7800.,Liver transplant,1.0
CTV3,78000,Orthotopic liver transplant,1.0
CTV3,78001,Heterotopic liver transplant,1.0
CTV3,78001,Heterotopic liver transplant,1.0
CTV3,78002,Replacement of previous liver transplant,1.0
CTV3,7800y,Other specified transplantation of liver,1.0
CTV3,7800z,Transplantation of liver NOS,1.0
CTV3,78052,Exploration liver (& transplanted),1.0
CTV3,A704.,Other specified viral hepatitis with coma,1.0
CTV3,A7040,Viral hepatitis C with coma,1.0
CTV3,A704z,Other specified viral hepatitis with hepatic coma NOS,1.0
CTV3,A706.,Unspecified viral hepatitis with coma,1.0
CTV3,A7071,Chronic viral hepatitis B without delta-agent,1.0
CTV3,A7072,Chronic viral hepatitis C,1.0
CTV3,AyuB1,[X]Other chronic viral hepatitis,1.0
CTV3,AyuB2,"[X]Chronic viral hepatitis, unspecified",1.0
CTV3,AyuB3,[X]Unspecified viral hepatitis with coma,1.0
CTV3,F10y0,Progressive neuronal degeneration with liver cirrhosis,1.0
CTV3,G850.,Bleeding oesophageal varices,1.0
CTV3,G851.,Oesophageal varices without bleeding,1.0
CTV3,G852.,Oesophageal varices in diseases EC,1.0
CTV3,G8520,Oesophageal varices with bleeding in diseases EC,1.0
CTV3,G8521,Oesophageal varices without bleeding in diseases EC,1.0
CTV3,G852z,Oesophageal varices in diseases EC NOS,1.0
CTV3,G857.,Gastric varices,1.0
CTV3,Gyu94,[X]Oesophageal varices in diseases classified elsewhere,1.0
CTV3,J6000,Acute hepatic failure,1.0
CTV3,J6010,Subacute hepatic failure,1.0
CTV3,J61..,Cirrhosis and chronic liver disease,1.0
CTV3,J610.,Alcoholic fatty liver,1.0
CTV3,J611.,Acute alcoholic hepatitis,1.0
CTV3,J612.,Cirrhosis: [florid] or [alcoholic],1.0
CTV3,J613.,Alcoholic liver damage unspecified,1.0
CTV3,J614.,Chronic hepatitis,1.0
CTV3,J6140,Chronic persistent hepatitis,1.0
CTV3,J6141,Chronic active hepatitis,1.0
CTV3,J6142,Chronic aggressive hepatitis,1.0
CTV3,J6143,Recurrent hepatitis,1.0
CTV3,J614y,Chronic hepatitis unspecified,1.0
CTV3,J614z,Chronic hepatitis NOS,1.0
CTV3,J615.,(Cirrhosis - non alcoholic) or (portal cirrhosis),1.0
CTV3,J6150,Unilobular portal cirrhosis,1.0
CTV3,J6151,Cirrhosis of liver: [multilobular portal] or [postnecrotic],1.0
CTV3,J6152,Mixed portal cirrhosis,1.0
CTV3,J6153,Diffuse nodular cirrhosis,1.0
CTV3,J6154,Fatty portal cirrhosis,1.0
CTV3,J6155,Macronodular cirrhosis,1.0
CTV3,J6156,Capsular portal cirrhosis,1.0
CTV3,J6157,Cirrhosis: [cardiac portal] or [congestive],1.0
CTV3,J6158,Cirrhosis: [juv portal] or [childh funct] or [Indian childh],1.0
CTV3,J6159,Pigmentary portal cirrhosis,1.0
CTV3,J615A,Pipestem portal cirrhosis,1.0
CTV3,J615B,Toxic portal cirrhosis,1.0
CTV3,J615D,Bacterial portal cirrhosis,1.0
CTV3,J615F,Syphilitic portal cirrhosis,1.0
CTV3,J615G,Zooparasitic portal cirrhosis,1.0
CTV3,J615H,Infectious cirrhosis NOS,1.0
CTV3,J615y,Portal cirrhosis unspecified,1.0
CTV3,J615z,(Liver cirrhos: [named vars] or [NOS]) or (hepat fibrosis),1.0
CTV3,J616.,Biliary cirrhosis,1.0
CTV3,J6160,Primary biliary cirrhosis,1.0
CTV3,J6161,Secondary biliary cirrhosis,1.0
CTV3,J6162,Biliary cirrhosis of children,1.0
CTV3,J616z,Biliary cirrhosis NOS,1.0
CTV3,J617.,Alcoholic hepatitis,1.0
CTV3,J61y.,Other non-alcoholic chronic liver disease,1.0
CTV3,J61y0,Chronic yellow atrophy,1.0
CTV3,J61y3,Portal fibrosis without cirrhosis,1.0
CTV3,J61yz,Other non-alcoholic chronic liver disease NOS,1.0
CTV3,J61z.,Chronic liver disease NOS,1.0
CTV3,J62..,Liver abscess and sequelae of chronic liver disease,1.0
CTV3,J623.,Portal hypertension,1.0
CTV3,J624.,Hepatorenal syndrome,1.0
CTV3,J62z.,Liver abscess and chronic liver disease causing sequelae NOS,1.0
CTV3,J630.,Chronic passive congestion of liver,1.0
CTV3,J6353,Toxic liver disease with chronic persistent hepatitis,1.0
CTV3,J6354,Toxic liver disease with chronic lobular hepatitis,1.0
CTV3,J6355,Toxic liver disease with chronic active hepatitis,1.0
CTV3,J6356,Toxic liver disease with fibrosis and cirrhosis of liver,1.0
CTV3,J63A.,Hepatic granulomas in sarcoidosis,1.0
CTV3,J6617,Primary sclerosing cholangitis,1.0
CTV3,Jyu71,[X]Other and unspecified cirrhosis of liver,1.0
CTV3,PB61.,Atresia of bile ducts,1.0
CTV3,PB610,Congenital absence of bile duct,1.0
CTV3,PB611,Congenital hypoplasia of bile duct,1.0
CTV3,PB614,Atresia of bile duct (& [intrahepatic] or [extrahepatic],1.0
CTV3,PB615,Congenital absence of hepatic ducts,1.0
