terminology,code,term,code_type
SNOMEDCT,195206000,Intermittent cerebral ischaemia,1.0
SNOMEDCT,230716006,Anterior circulation transient ischaemic attack,1.0
SNOMEDCT,266257000,TIA,1.0
SNOMEDCT,15258001,Subclavian steal syndrome (disorder),1.0
SNOMEDCT,195199008,Vertebrobasilar artery syndrome (disorder),1.0
SNOMEDCT,195205001,Impending cerebral ischemia (disorder),1.0
SNOMEDCT,34781003,Vertebral artery syndrome (disorder),1.0
SNOMEDCT,64009001,Basilar artery syndrome (disorder),1.0
SNOMEDCT,751371000000107,Personal history of transient ischaemic attack (situation),1.0
SNOMEDCT,230717002,Vertebrobasilar territory transient ischemic attack (disorder),1.0
