Phenotype,Terminology,Code,Description,Filter,Lookback
green_book_congenital_syndromes_and_anomalies,ICD-10,Q0,,Include,
green_book_congenital_syndromes_and_anomalies,ICD-10,Q2,,Include,
green_book_congenital_syndromes_and_anomalies,ICD-10,Q3,,Include,
green_book_congenital_syndromes_and_anomalies,ICD-10,Q9,,Include,
green_book_congenital_syndromes_and_anomalies,ICD-10,Q60,Renal agenesis and other reduction defects of kidney,Include,
green_book_congenital_syndromes_and_anomalies,ICD-10,Q61,Cystic kidney disease,Include,
green_book_congenital_syndromes_and_anomalies,ICD-10,Q4,,Include,
green_book_congenital_syndromes_and_anomalies,ICD-10,Q79,"Congenital malformations of the musculoskeletal system, not elsewhere classified",Include,
green_book_congenital_syndromes_and_anomalies,ICD-10,Q80,Congenital ichthyosis,Include,
green_book_congenital_syndromes_and_anomalies,ICD-10,Q81,Epidermolysis bullosa,Include,
green_book_congenital_syndromes_and_anomalies,ICD-10,Q897,"Multiple congenital malformations, not elsewhere classified",Include,
green_book_congenital_syndromes_and_anomalies,ICD-10,Q245,Malformation of coronary vessels,Filter,
green_book_congenital_syndromes_and_anomalies,ICD-10,Q38,"Other congenital malformations of tongue, mouth and pharynx",Filter,
