Phenotype,Terminology,Code,Description,Filter,Lookback
green_book_endocrine_conditions,ICD-10,E10,Type 1 diabetes mellitus,Include,
green_book_endocrine_conditions,ICD-10,E11,Type 2 diabetes mellitus,Include,
green_book_endocrine_conditions,ICD-10,E12,Malnutrition-related diabetes mellitus,Include,
green_book_endocrine_conditions,ICD-10,E13,Other specified diabetes mellitus,Include,
green_book_endocrine_conditions,ICD-10,E14,Unspecified diabetes mellitus,Include,
green_book_endocrine_conditions,ICD-10,E22,Hyperfunction of pituitary gland,Include,
green_book_endocrine_conditions,ICD-10,E23,Hypofunction and other disorders of pituitary gland,Include,
green_book_endocrine_conditions,ICD-10,E24,Cushing syndrome,Include,
green_book_endocrine_conditions,ICD-10,E25,Adrenogenital disorders,Include,
green_book_endocrine_conditions,ICD-10,E26,Hyperaldosteronism,Include,
green_book_endocrine_conditions,ICD-10,E27,Other disorders of adrenal gland,Include,
green_book_endocrine_conditions,ICD-10,E7,,Include,
green_book_endocrine_conditions,ICD-10,E80,Disorders of porphyrin and bilirubin metabolism,Include,
green_book_endocrine_conditions,ICD-10,E81,,Include,
green_book_endocrine_conditions,ICD-10,E82,,Include,
green_book_endocrine_conditions,ICD-10,E88,Other metabolic disorders,Include,
green_book_endocrine_conditions,ICD-10,E89,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Include,
green_book_endocrine_conditions,ICD-10,E84,Cystic fibrosis,Include,
green_book_endocrine_conditions,ICD-10,E231,Drug-induced hypopituitarism,Filter,
green_book_endocrine_conditions,ICD-10,E232,Diabetes insipidus,Filter,
green_book_endocrine_conditions,ICD-10,E739,"Lactose intolerance, unspecified",Filter,
