Phenotype,Terminology,Code,Description,Filter,Lookback
uhc_muscle_and_skin_and_arthritis,ICD-10,L1,,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,L4,,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,L85,Other epidermal thickening,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,L93,Lupus erythematosus,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,L94,Other localized connective tissue disorders,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,M0,,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,M1,,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,M3,,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,M41,Scoliosis,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,M42,Spinal osteochondrosis,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,M43,Other deforming dorsopathies,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q65,Congenital deformities of hip,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q66,Congenital deformities of feet,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q67,"Congenital musculoskeletal deformities of head, face, spine and chest",Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q68,Other congenital musculoskeletal deformities,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q69,Polydactyly,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q7,,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q8,,Include,
uhc_muscle_and_skin_and_arthritis,ICD-10,M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere,Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,M02,Reactive arthropathies,Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,M03,Postinfective and reactive arthropathies in diseases classified elsewhere,Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,M04,,Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,M303,Mucocutaneous lymph node syndrome [Kawasaki],Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q668,Other congenital deformities of feet,Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q690,Accessory finger(s),Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q691,Accessory thumb(s),Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q692,Accessory toe(s),Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q699,"Polydactyly, unspecified",Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q700,Fused fingers,Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q701,Webbed fingers,Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q702,Fused toes,Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q703,Webbed toes,Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q825,Congenital non-neoplastic naevus,Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q828,Other specified congenital malformations of skin,Filter,
uhc_muscle_and_skin_and_arthritis,ICD-10,Q829,"Congenital malformation of skin, unspecified",Filter,
