Phenotype,Terminology,Code,Description,Filter,Lookback
uhc_renal_and_genitourinary_conditions,ICD-10,N0,,Include,
uhc_renal_and_genitourinary_conditions,ICD-10,N11,Chronic tubulo-interstitial nephritis,Include,
uhc_renal_and_genitourinary_conditions,ICD-10,N12,,Include,
uhc_renal_and_genitourinary_conditions,ICD-10,N13,Obstructive and reflux uropathy,Include,
uhc_renal_and_genitourinary_conditions,ICD-10,N15,Other renal tubulo-interstitial diseases,Include,
uhc_renal_and_genitourinary_conditions,ICD-10,N18,Chronic kidney disease,Include,
uhc_renal_and_genitourinary_conditions,ICD-10,N31,"Neuromuscular dysfunction of bladder, not elsewhere classified",Include,
uhc_renal_and_genitourinary_conditions,ICD-10,N32,Other disorders of bladder,Include,
uhc_renal_and_genitourinary_conditions,ICD-10,Q5,,Include,
uhc_renal_and_genitourinary_conditions,ICD-10,Q60,Renal agenesis and other reduction defects of kidney,Include,
uhc_renal_and_genitourinary_conditions,ICD-10,Q61,Cystic kidney disease,Include,
uhc_renal_and_genitourinary_conditions,ICD-10,Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter,Include,
uhc_renal_and_genitourinary_conditions,ICD-10,Q63,Other congenital malformations of kidney,Include,
uhc_renal_and_genitourinary_conditions,ICD-10,Q64,Other congenital malformations of urinary system,Include,
