System,Code,Description
snomedct,88790004,Abyssinians (Amharas) (ethnic group)
snomedct,25750005,Admiralty Islanders (ethnic group)
snomedct,9.2491E+13,African - ethnic category 2001 census (finding)
snomedct,15086000,African American (ethnic group)
snomedct,9.78241E+14,"African: African, African Scottish or African British - Scotland ethnic category 2011 census "
snomedct,9.78231E+14,"African: African, African Scottish or African British - Scotland ethnic category 2011 census (finding)"
snomedct,9.78261E+14,African: any other African - Scotland ethnic category 2011 census 
snomedct,9.78251E+14,African: any other African - Scotland ethnic category 2011 census (finding)
snomedct,413465009,Afro-Caribbean (ethnic group)
snomedct,413466005,Afro-Caucasian (ethnic group)
snomedct,27683006,Ainu (ethnic group)
snomedct,89026003,Alacaluf (ethnic group)
snomedct,8.8971E+13,Albanian - ethnic category 2001 census (finding)
snomedct,21047009,Aleuts (ethnic group)
snomedct,66920001,Amerind (ethnic group)
snomedct,42632009,Andamanese (ethnic group)
snomedct,9.4151E+13,Any other group - ethnic category 2001 census (finding)
snomedct,74302004,Apache (ethnic group)
snomedct,8.9001E+13,Arab - ethnic category 2001 census (finding)
snomedct,413569000,Arab (ethnic group)
snomedct,90027003,Arabs (ethnic group)
snomedct,113169009,Armenians (ethnic group)
snomedct,315280000,Asian - ethnic group (ethnic group)
snomedct,9.2611E+13,Asian and Chinese - ethnic category 2001 census (finding)
snomedct,9.76881E+14,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census 
snomedct,9.76871E+14,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census (finding)
snomedct,9.77781E+14,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census 
snomedct,9.77771E+14,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.76841E+14,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census 
snomedct,9.76831E+14,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census (finding)
snomedct,9.77741E+14,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census 
snomedct,9.77731E+14,Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.76861E+14,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census 
snomedct,9.76851E+14,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census (finding)
snomedct,9.77761E+14,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census 
snomedct,9.77751E+14,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.76801E+14,Asian or Asian British: Indian - England and Wales ethnic category 2011 census 
snomedct,9.76791E+14,Asian or Asian British: Indian - England and Wales ethnic category 2011 census (finding)
snomedct,9.77601E+14,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census 
snomedct,9.77591E+14,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.76821E+14,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census 
snomedct,9.76811E+14,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census (finding)
snomedct,9.77721E+14,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census 
snomedct,9.77711E+14,Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.78221E+14,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census 
snomedct,9.78211E+14,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census (finding)
snomedct,9.78181E+14,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Banagaldeshi British - Scotland ethnic category 2011 census "
snomedct,9.78171E+14,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census (finding)"
snomedct,9.78201E+14,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census 
snomedct,9.78191E+14,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census (finding)
snomedct,9.78121E+14,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census "
snomedct,9.78111E+14,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census (finding)"
snomedct,9.78081E+14,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census "
snomedct,9.78071E+14,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census (finding)"
snomedct,77502007,Atacamenos (ethnic group)
snomedct,38144004,Athabascans (ethnic group)
snomedct,43608005,Australian Aborigines (ethnic group)
snomedct,68486007,Austrians (ethnic group)
snomedct,113170005,Aymara (ethnic group)
snomedct,67931002,Aztec (ethnic group)
snomedct,46723002,Badagas (ethnic group)
snomedct,704390004,Bajau (ethnic group)
snomedct,8.8951E+13,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census (finding)
snomedct,186003008,Bangladeshi (ethnic group)
snomedct,9.2471E+13,Bangladeshi or British Bangladeshi - ethnic category 2001 census (finding)
snomedct,39764005,Bantu (ethnic group)
snomedct,58047002,Barundi (ethnic group)
snomedct,45465003,Basques (ethnic group)
snomedct,23922002,Batutsi (ethnic group)
