icd_code,icd_term
D181,"Lymphangioma, any site"
D215,Benign neoplasm: Connective and other soft tissue of pelvis
D821,Di George syndrome
P350,Congenital rubella syndrome
P351,Congenital cytomegalovirus infection
P371,Congenital toxoplasmosis
Q000,Anencephaly
Q001,Craniorachischisis
Q002,Iniencephaly
Q010,Frontal encephalocele
Q011,Nasofrontal encephalocele
Q012,Occipital encephalocele
Q018,Encephalocele of other sites
Q019,"Encephalocele, unspecified"
Q02,Microcephaly
Q030,Malformations of aqueduct of Sylvius
Q031,Atresia of foramina of Magendie and Luschka
Q038,Other congenital hydrocephalus
Q039,"Congenital hydrocephalus, unspecified"
Q040,Congenital malformations of corpus callosum
Q041,Arhinencephaly
Q042,Holoprosencephaly
Q043,Other reduction deformities of brain
Q044,Septo-optic dysplasia
Q045,Megalencephaly
Q046,Congenital cerebral cysts
Q048,Other specified congenital malformations of brain
Q049,"Congenital malformation of brain, unspecified"
Q050,Cervical spina bifida with hydrocephalus
Q051,Thoracic spina bifida with hydrocephalus
Q052,Lumbar spina bifida with hydrocephalus
Q053,Sacral spina bifida with hydrocephalus
Q054,Unspecified spina bifida with hydrocephalus
Q055,Cervical spina bifida without hydrocephalus
Q056,Thoracic spina bifida without hydrocephalus
Q057,Lumbar spina bifida without hydrocephalus
Q058,Sacral spina bifida without hydrocephalus
Q059,"Spina bifida, unspecified"
Q060,Amyelia
Q061,Hypoplasia and dysplasia of spinal cord
Q062,Diastematomyelia
Q063,Other congenital cauda equina malformations
Q064,Hydromyelia
Q068,Other specified congenital malformations of spinal cord
Q069,"Congenital malformation of spinal cord, unspecified"
Q070,Arnold-Chiari syndrome
Q078,Other specified congenital malformations of nervous system
Q079,"Congenital malformation of nervous system, unspecified"
Q100,Congenital ptosis
Q104,Absence and agenesis of lacrimal apparatus
Q106,Other congenital malformations of lacrimal apparatus
Q107,Congenital malformation of orbit
Q110,Cystic eyeball
Q111,Other anophthalmos
Q112,Microphthalmos
Q113,Macrophthalmos
Q120,Congenital cataract
Q121,Congenital displaced lens
Q122,Coloboma of lens
Q123,Congenital aphakia
Q124,Spherophakia
Q128,Other congenital lens malformations
Q129,"Congenital lens malformation, unspecified"
Q130,Coloboma of iris
Q131,Absence of iris
Q132,Other congenital malformations of iris
Q133,Congenital corneal opacity
Q134,Other congenital corneal malformations
Q138,Other congenital malformations of anterior segment of eye
Q139,"Congenital malformation of anterior segment of eye, unspecified"
Q140,Congenital malformation of vitreous humour
Q141,Congenital malformation of retina
Q142,Congenital malformation of optic disc
Q143,Congenital malformation of choroid
Q148,Other congenital malformations of posterior segment of eye
Q149,"Congenital malformation of posterior segment of eye, unspecified"
Q150,Congenital glaucoma
Q158,Other specified congenital malformations of eye
Q159,"Congenital malformation of eye, unspecified"
Q160,Congenital absence of (ear) auricle
Q161,"Congenital absence, atresia and stricture of auditory canal (external)"
Q162,Absence of eustachian tube
Q163,Congenital malformation of ear ossicles
Q164,Other congenital malformations of middle ear
Q165,Congenital malformation of inner ear
Q169,"Congenital malformation of ear causing impairment of hearing, unspecified"
Q178,Other specified congenital malformations of ear
Q183,Webbing of neck
Q188,Other specified congenital malformations of face and neck
Q200,Common arterial trunk
Q201,Double outlet right ventricle
Q202,Double outlet left ventricle
Q203,Discordant ventriculoarterial connection
Q204,Double inlet ventricle
Q205,Discordant atrioventricular connection
Q206,Isomerism of atrial appendages
Q208,Other congenital malformations of cardiac chambers and connections
Q209,"Congenital malformation of cardiac chambers and connections, unspecified"
Q210,Ventricular septal defect
Q211,Atrial septal defect
Q212,Atrioventricular septal defect
Q213,Tetralogy of Fallot
Q214,Aortopulmonary septal defect
Q218,Other congenital malformations of cardiac septa
Q219,"Congenital malformation of cardiac septum, unspecified"
Q220,Pulmonary valve atresia
Q221,Congenital pulmonary valve stenosis
Q222,Congenital pulmonary valve insufficiency
Q223,Other congenital malformations of pulmonary valve
Q224,Congenital tricuspid stenosis
Q225,Ebstein anomaly
Q226,Hypoplastic right heart syndrome
Q228,Other congenital malformations of tricuspid valve
Q229,"Congenital malformation of tricuspid valve, unspecified"
Q230,Congenital stenosis of aortic valve
Q231,Congenital insufficiency of aortic valve
Q232,Congenital mitral stenosis
Q233,Congenital mitral insufficiency
Q234,Hypoplastic left heart syndrome
Q238,Other congenital malformations of aortic and mitral valves
Q239,"Congenital malformation of aortic and mitral valves, unspecified"
Q240,Dextrocardia
