prodcode,prodname,drugsubstance,bnfcode,strength
25740,Avastin 100mg/4ml solution for infusion vials (Roche Products Ltd),Bevacizumab,8010500,25mg/1ml
27292,Herceptin 150mg powder for concentrate for solution for infusion vials (Roche Products Ltd),Trastuzumab,8010500,150mg
28490,Rituximab 100mg/10ml solution for infusion vials,Rituximab,08020300/10010301,10mg/1ml
31076,Trastuzumab 150mg powder for solution for infusion vials,Trastuzumab,8010500,150mg
31598,MabCampath 30mg/3ml concentrate for solution for infusion ampoules (Schering Health Care Ltd),Alemtuzumab,0,10mg/1ml
32712,Erbitux 100mg/50ml solution for infusion vials (Merck Serono Ltd),Cetuximab,0,2mg/1ml
33205,Cetuximab 100mg/50ml solution for infusion vials,Cetuximab,0,2mg/1ml
36294,Rituximab 500mg/50ml solution for infusion vials,Rituximab,08020300/10010301,10mg/1ml
38145,Bevacizumab 100mg/4ml solution for infusion vials,Bevacizumab,8010500,25mg/1ml
38158,Cetuximab 100mg/20ml solution for infusion vials,Cetuximab,8010500,5mg/1ml
39111,Rituximab 10mg/ml concentrated intravenous infusion,Rituximab,08020300/10010301,10mg/ml
42273,Alemtuzumab 30mg/1ml solution for infusion vials,Alemtuzumab,8020300,30mg/1ml
44004,Denosumab 60mg/1ml solution for injection pre-filled syringes,Denosumab,6060200,60mg/1ml
44084,Prolia 60mg/1ml solution for injection pre-filled syringes (Amgen Ltd),Denosumab,6060200,60mg/1ml
45122,Panitumumab 100mg/5ml solution for infusion vials,Panitumumab,8010500,20mg/1ml
47502,MabThera 100mg/10ml concentrate for solution for infusion vials (Roche Products Ltd),Rituximab,08020300/10010301,10mg/1ml
54058,Denosumab 120mg/1.7ml solution for injection vials,Denosumab,6060200,70mg/1ml
55815,MabCampath 30mg/1ml concentrate for solution for infusion vials (Genzyme Therapeutics Ltd),Alemtuzumab,8020300,30mg/1ml
56041,Ipilimumab 50mg/10ml solution for infusion vials,Ipilimumab,8010500,5mg/1ml
58018,Xgeva 120mg/1.7ml solution for injection vials (Amgen Ltd),Denosumab,6060200,70mg/1ml
58142,Brentuximab vedotin 50mg powder for solution for infusion vials,Brentuximab vedotin,8010500,50mg
58819,Herceptin 600mg/5ml solution for injection vials (Roche Products Ltd),Trastuzumab,8010500,120mg/1ml
58862,Ipilimumab 200mg/40ml solution for infusion vials,Ipilimumab,8010500,5mg/1ml
59276,Erbitux 100mg/20ml solution for infusion vials (Merck Serono Ltd),Cetuximab,8010500,5mg/1ml
61908,Pertuzumab 420mg/14ml solution for infusion vials,Pertuzumab,8010500,30mg/1ml
66436,Cetuximab 500mg/100ml solution for infusion vials,Cetuximab,8010500,5mg/1ml
69589,Alemtuzumab 12mg/1.2ml solution for infusion vials,Alemtuzumab,8020500,10mg/1ml
70553,Obinutuzumab 1g/40ml solution for infusion vials,Obinutuzumab,8020500,25mg/1ml
71157,Nivolumab 100mg/10ml solution for infusion vials,Nivolumab,8010500,10mg/1ml
71269,Pembrolizumab 100mg/4ml solution for infusion vials,Pembrolizumab,8010500,25mg/1ml
72094,Truxima 500mg/50ml concentrate for solution for infusion vials (Napp Pharmaceuticals Ltd),Rituximab,08020300/10010301,10mg/1ml
72422,Avelumab 200mg/10ml solution for infusion vials,Avelumab,8010500,20mg/1ml
73083,Lemtrada 12mg/1.2ml concentrate for solution for infusion vials (Genzyme Therapeutics Ltd),Alemtuzumab,8020500,10mg/1ml
73295,Trastuzumab 600mg/5ml solution for injection vials,Trastuzumab,8010500,120mg/1ml
73503,Rixathon 100mg/10ml concentrate for solution for infusion vials (Sandoz Ltd),Rituximab,08020300/10010301,10mg/1ml
74553,Truxima 100mg/10ml concentrate for solution for infusion vials (Napp Pharmaceuticals Ltd),Rituximab,08020300/10010301,10mg/1ml
