System,Code,Description,Grouping_16,Grouping_6
ctv3,134B.,Race: Caucasian,1,1
ctv3,Y9930,Race - British,1,1
ctv3,9S1..,White - ethnic group,1,1
ctv3,XaFwD,White British,1,1
ctv3,XaIui,Other white British ethnic group,1,1
ctv3,XaJQv,British or mixed British - ethnic category 2001 census,1,1
ctv3,XaQEa,White British - ethnic category 2001 census,1,1
ctv3,XactH,White:Eng/Welsh/Scot/NI/Brit - England and Wales 2011 census,1,1
ctv3,9SA9.,Irish (NMO),2,1
ctv3,XaFwE,White Irish,2,1
ctv3,XaJQw,Irish - ethnic category 2001 census,2,1
ctv3,XaJSN,Mixed Irish and other White - ethnic category 2001 census,2,1
ctv3,XaQEb,White Irish - ethnic category 2001 census,2,1
ctv3,XactI,White: Irish - England and Wales ethnic category 2011 census,2,1
ctv3,Xacuu,White: Irish - Scotland ethnic category 2011 census,2,1
ctv3,Y9932,Race - Mediterranean,3,1
ctv3,9SAA.,Greek &/or Greek Cypriot (NMO),3,1
ctv3,9SAB.,Turkish &/or Turkish Cypriot (NMO),3,1
ctv3,9SAC.,Other European (NMO),3,1
ctv3,9T11.,New Zealand European,3,1
ctv3,XE2Nz,Greek/Greek Cypriot (NMO),3,1
ctv3,XE2O0,Turkish/Turkish Cypriot (NMO),3,1
ctv3,XM1SF,Greek (NMO),3,1
ctv3,XM1SG,Greek Cypriot (NMO),3,1
ctv3,XM1SH,Turkish (NMO),3,1
ctv3,XM1SI,Turkish Cypriot (NMO),3,1
ctv3,XS7AU,Gypsies,3,1
ctv3,XaFwF,Other white ethnic group,3,1
ctv3,XaFx2,Irish traveller,3,1
ctv3,XaIuh,White Scottish,3,1
ctv3,XaJQx,Other White background - ethnic category 2001 census,3,1
ctv3,XaJRC,English - ethnic category 2001 census,3,1
ctv3,XaJRD,Scottish - ethnic category 2001 census,3,1
ctv3,XaJRE,Welsh - ethnic category 2001 census,3,1
ctv3,XaJRF,Northern Irish - ethnic category 2001 census,3,1
ctv3,XaJRG,Cornish - ethnic category 2001 census,3,1
ctv3,XaJRg,Cypriot (part not stated) - ethnic category 2001 census,3,1
ctv3,XaJRh,Ulster Scots - ethnic category 2001 census,3,1
ctv3,XaJRi,Greek - ethnic category 2001 census,3,1
