prodcode,prodname,drugsubstance,bnfcode,strength
21286,Imatinib 100mg capsules,Imatinib mesilate,8010551,100mg
21318,Imatinib 400mg tablets,Imatinib mesilate,8010551,400mg
25262,Tarceva 150mg tablets (Roche Products Ltd),Erlotinib hydrochloride,08010500/08010551,150mg
28800,Glivec 400mg tablets (Novartis Pharmaceuticals UK Ltd),Imatinib mesilate,8010551,400mg
29229,Imatinib 100mg tablets,Imatinib mesilate,8010551,100mg
33823,Glivec 100mg tablets (Novartis Pharmaceuticals UK Ltd),Imatinib mesilate,8010551,100mg
33827,Erlotinib 150mg tablets,Erlotinib hydrochloride,08010500/08010551,150mg
35685,Sorafenib 200mg tablets,Sorafenib tosylate,8010551,200mg
36062,Dasatinib 50mg tablets,Dasatinib,8010551,50mg
36957,Dasatinib 70mg tablets,Dasatinib,8010551,70mg
37238,Dasatinib 20mg tablets,Dasatinib,8010551,20mg
37441,Tarceva 25mg tablets (Roche Products Ltd),Erlotinib hydrochloride,08010500/08010551,25mg
38317,Nilotinib 200mg capsules,Nilotinib hydrochloride monohydrate,8010551,200mg
38871,Sunitinib 12.5mg capsules,Sunitinib malate,8010551,12.5mg
39795,Sutent 12.5mg capsules (Pfizer Ltd),Sunitinib malate,8010551,12.5mg
40094,Erlotinib 100mg tablets,Erlotinib hydrochloride,08010500/08010551,100mg
40453,Torisel 30mg/1.2ml concentrate for solution for infusion vials and diluent (Pfizer Ltd),Temsirolimus,8010551,25mg/1ml
40580,Sunitinib 50mg capsules,Sunitinib malate,8010551,50mg
41077,Gefitinib 250mg tablets,Gefitinib,8010551,250mg
42362,Nexavar 200mg tablets (Bayer Plc),Sorafenib tosylate,8010551,200mg
42390,Dasatinib 100mg tablets,Dasatinib,8010551,100mg
42993,Sutent 25mg capsules (Pfizer Ltd),Sunitinib malate,8010551,25mg
43781,Afinitor 10mg tablets (Novartis Pharmaceuticals UK Ltd),Everolimus,8010551,10mg
44063,Sunitinib 25mg capsules,Sunitinib malate,8010551,25mg
45450,Sutent 50mg capsules (Pfizer Ltd),Sunitinib malate,8010551,50mg
45820,Nilotinib 150mg capsules,Nilotinib hydrochloride monohydrate,8010551,150mg
45992,Erlotinib 25mg tablets,Erlotinib hydrochloride,08010500/08010551,25mg
46070,Everolimus 5mg tablets,Everolimus,8010551,5mg
46563,Iressa 250mg tablets (AstraZeneca UK Ltd),Gefitinib,8010551,250mg
46823,Pazopanib 400mg tablets,Pazopanib hydrochloride,8010551,400mg
46837,Lapatinib 250mg tablets,Lapatinib ditosylate monohydrate,8010551,250mg
47552,Pazopanib 200mg tablets,Pazopanib hydrochloride,8010551,200mg
47556,Tarceva 100mg tablets (Roche Products Ltd),Erlotinib hydrochloride,08010500/08010551,100mg
55683,Everolimus 10mg tablets,Everolimus,8010551,10mg
56652,Votrient 200mg tablets (Novartis Pharmaceuticals UK Ltd),Pazopanib hydrochloride,8010551,200mg
57172,Vandetanib 100mg tablets,Vandetanib,8010551,100mg
58025,Axitinib 1mg tablets,Axitinib,8010551,1mg
58758,Crizotinib 200mg capsules,Crizotinib,8010551,200mg
58932,Vemurafenib 240mg tablets,Vemurafenib,8010551,240mg
59434,Ruxolitinib 15mg tablets,Ruxolitinib phosphate,8010551,15mg
60008,Ruxolitinib 20mg tablets,Ruxolitinib phosphate,8010551,20mg
61854,Afatinib 20mg tablets,Afatinib,8010551,20mg
62572,Axitinib 7mg tablets,Axitinib,8010551,7mg
63202,Tafinlar 75mg capsules (Novartis Pharmaceuticals UK Ltd),Dabrafenib mesilate,8010551,75mg
63638,Afinitor 2.5mg tablets (Novartis Pharmaceuticals UK Ltd),Everolimus,8010551,2.5mg
64275,Ruxolitinib 5mg tablets,Ruxolitinib phosphate,8010551,5mg
64388,Nintedanib 100mg capsules,Nintedanib esilate,03130000/08010551,100mg
65183,Ibrutinib 140mg capsules,Ibrutinib,8010551,140mg
65280,Dasatinib 80mg tablets,Dasatinib,8010551,80mg
65784,Dabrafenib 50mg capsules,Dabrafenib mesilate,8010551,50mg
67591,Trametinib 500micrograms tablets,Trametinib,8010551,500microgram
67636,Jakavi 5mg tablets (Novartis Pharmaceuticals UK Ltd),Ruxolitinib phosphate,8010551,5mg
67842,Lenvatinib 4mg capsules,Lenvatinib mesilate,8010551,4mg
68132,Axitinib 5mg tablets,Axitinib,8010551,5mg
68805,Nintedanib 150mg capsules,Nintedanib esilate,03130000/08010551,150mg
69014,Ruxolitinib 10mg tablets,Ruxolitinib phosphate,8010551,10mg
69604,Osimertinib 40mg tablets,Osimertinib mesylate,8010551,40mg
69830,Bosutinib 100mg tablets,Bosutinib,8010551,100mg
69900,Tafinlar 50mg capsules (Novartis Pharmaceuticals UK Ltd),Dabrafenib mesilate,8010551,50mg
71723,Imbruvica 140mg capsules (Janssen-Cilag Ltd),Ibrutinib,8010551,140mg
71770,Palbociclib 75mg capsules,Palbociclib,8010551,75mg
72063,Trametinib 2mg tablets,Trametinib,8010551,2mg
72191,Votrient 400mg tablets (Novartis Pharmaceuticals UK Ltd),Pazopanib hydrochloride,8010551,400mg
72404,Afatinib 30mg tablets,Afatinib,8010551,30mg
72763,Afatinib 40mg tablets,Afatinib,8010551,40mg
73079,Ceritinib 150mg capsules,Ceritinib,8010551,150mg
73218,Cabozantinib 20mg capsules and Cabozantinib 80mg capsules,Cabozantinib s-malate,8010551,
73683,Cabozantinib 40mg tablets,Cabozantinib s-malate,8010551,40mg
74448,Cabozantinib 20mg capsules,Cabozantinib s-malate,8010551,20mg
74514,Dabrafenib 75mg capsules,Dabrafenib mesilate,8010551,75mg
